species_name,genus,family,superfamily,suborder,order,role,assembly_accession,assembly_name,assembly_level,refseq_category,genome_size_mb,contig_N50,scaffold_N50,number_of_scaffolds,gc_percent,gene_annotation_available,annotation_source,primary_source,secondary_source,ncbi_bioproject,ncbi_biosample,submission_date,publication_doi,publication_year,pubmed_id,citation_short,restriction_status,restriction_notes,data_generating_consortium,include_recommended,conflict_flag,notes,ncbi_assembly_url,ncbi_download_url,ncbi_datasets_command,bioproject_url,total_score,selection_status
Halyzia sedecimguttata,Halyzia,Coccinellidae,Coccinelloidea,Polyphaga,Coleoptera,ingroup,GCA_937662695.2,icHalSede1.2,Chromosome,reference genome,919.09,14028202,111009446,58,36.0,yes,NCBI/RefSeq,NCBI,,PRJEB52234,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_937662695.2/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_937662695.2/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_937662695.2.zip","datasets download genome accession GCA_937662695.2 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB52234,210.45359935283352,primary
Harmonia axyridis,Harmonia,Coccinellidae,Coccinelloidea,Polyphaga,Coleoptera,ingroup,GCF_914767665.1,icHarAxyr1.1,Chromosome,reference genome,425.52,22915403,63675256,13,35.0,yes,NCBI/RefSeq,NCBI,,PRJEB47373,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_914767665.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCF_914767665.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCF_914767665.1.zip","datasets download genome accession GCF_914767665.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB47373,208.03970699676702,primary
Harmonia quadripunctata,Harmonia,Coccinellidae,Coccinelloidea,Polyphaga,Coleoptera,ingroup,GCA_965642415.1,icHarQuad1.hap1.1,Chromosome,reference genome,661.31,7798040,89500714,166,34.5,yes,NCBI/RefSeq,NCBI,,PRJEB93843,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_965642415.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_965642415.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_965642415.1.zip","datasets download genome accession GCA_965642415.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB93843,209.51826499953043,primary
Harpalus anxius,Harpalus,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_965601895.1,icHarAnxi1.hap1.1,Chromosome,reference genome,1066.24,3992063,58613874,728,32.5,yes,NCBI/RefSeq,NCBI,,PRJEB90518,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_965601895.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_965601895.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_965601895.1.zip","datasets download genome accession GCA_965601895.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB90518,207.68000426401613,primary
Harpalus rubripes,Harpalus,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_963082715.1,icHarRubr1.1,Chromosome,reference genome,1253.23,5994626,66357049,774,31.5,yes,NCBI/RefSeq,NCBI,,PRJEB64813,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963082715.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_963082715.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_963082715.1.zip","datasets download genome accession GCA_963082715.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB64813,208.2188706403838,primary
Harpalus rufipes,Harpalus,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_951394225.1,icHarRufp1.1,Chromosome,reference genome,890.54,8784621,52722989,87,31.5,yes,NCBI/RefSeq,NCBI,,PRJEB62060,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_951394225.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_951394225.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_951394225.1.zip","datasets download genome accession GCA_951394225.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB62060,207.22000023539846,primary
Helictopleurus sicardi,Helictopleurus,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera,ingroup,GCA_033557245.1,ASM3355724v1,Contig,reference genome,8.73,555,555,17945,37.5,yes,NCBI/RefSeq,NCBI,,PRJNA977672,,,,,,,published_open,,,no,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_033557245.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_033557245.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_033557245.1.zip","datasets download genome accession GCA_033557245.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA977672,77.44292983122676,primary
Helochares maculicollis,Helochares,Hydrophilidae,Hydrophiloidea,Polyphaga,Coleoptera,ingroup,GCA_033557835.1,ASM3355783v1,Contig,reference genome,25.69,48633,48633,517,33.5,yes,NCBI/RefSeq,NCBI,,PRJNA977672,,,,,,,published_open,,,no,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_033557835.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_033557835.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_033557835.1.zip","datasets download genome accession GCA_033557835.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA977672,96.86931060505043,primary
Hemicrepidius hirtus,Hemicrepidius,Elateridae,Elateroidea,Polyphaga,Coleoptera,ingroup,GCA_963082805.1,icHemNige1.1,Chromosome,reference genome,377.55,7643588,35742776,196,34.5,yes,NCBI/RefSeq,NCBI,,PRJEB64845,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963082805.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_963082805.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_963082805.1.zip","datasets download genome accession GCA_963082805.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB64845,205.53188279413706,primary
Henosepilachna vigintioctopunctata,Henosepilachna,Coccinellidae,Coccinelloidea,Polyphaga,Coleoptera,ingroup,GCA_030704895.1,SYSU_HVIGI_v1.0,Contig,reference genome,496.12,5762660,5762660,151,31.5,yes,NCBI/RefSeq,NCBI,,PRJNA626074,,,,,,,published_open,,,conditional,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_030704895.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_030704895.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_030704895.1.zip","datasets download genome accession GCA_030704895.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA626074,117.60622996732184,primary
Hermaeophaga mercurialis,Hermaeophaga,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera,ingroup,GCA_951812935.1,icHerMerc2.1,Chromosome,reference genome,479.39,1363883,47101683,1489,28.5,yes,NCBI/RefSeq,NCBI,,PRJEB63008,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_951812935.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_951812935.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_951812935.1.zip","datasets download genome accession GCA_951812935.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB63008,206.73036425272306,primary
Herpes porcellus,Herpes,Curculionidae,Curculionoidea,Polyphaga,Coleoptera,ingroup,GCA_981691985.1,Genome assembly of Herpes porcellus icHerPorc,Chromosome,reference genome,775.83,8297486,55530766,150,33.5,yes,NCBI/RefSeq,NCBI,,PRJEB108880,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_981691985.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_981691985.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_981691985.1.zip","datasets download genome accession GCA_981691985.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB108880,207.44533664239336,primary
Hippodamia convergens,Hippodamia,Coccinellidae,Coccinelloidea,Polyphaga,Coleoptera,ingroup,GCA_038502775.1,Hcon_USA_1,Chromosome,reference genome,619.23,621899,89672818,897,35.0,yes,NCBI/RefSeq,NCBI,,PRJNA1017495,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_038502775.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_038502775.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_038502775.1.zip","datasets download genome accession GCA_038502775.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1017495,209.52660817830986,primary
Hippodamia variegata,Hippodamia,Coccinellidae,Coccinelloidea,Polyphaga,Coleoptera,ingroup,GCA_046424425.1,ASM4642442v1,Chromosome,reference genome,443.72,33707572,43576503,1576,35.5,yes,NCBI/RefSeq,NCBI,,PRJNA1172969,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_046424425.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_046424425.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_046424425.1.zip","datasets download genome accession GCA_046424425.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1172969,206.39252375319592,primary
Holobus sp. GC000080,Holobus,Staphylinidae,Staphylinoidea,Polyphaga,Coleoptera,ingroup,GCA_030556065.1,Caltech_Hol_1.0,Scaffold,,115.99,27575,28646,8844,33.0,check,,NCBI,,PRJNA764224,,,,,,,to_verify,,,no,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_030556065.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_030556065.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_030556065.1.zip","datasets download genome accession GCA_030556065.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA764224,94.57063987587603,primary
Hololepta plana,Hololepta,Histeridae,Histeroidea,Polyphaga,Coleoptera,ingroup,GCA_963695495.2,icHolPlan1.2,Chromosome,reference genome,139.51,2199103,14286131,45,37.0,yes,NCBI/RefSeq,NCBI,,PRJEB70901,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963695495.2/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_963695495.2/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_963695495.2.zip","datasets download genome accession GCA_963695495.2 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB70901,201.54914628171014,primary
Holotrichia oblita,Holotrichia,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera,ingroup,GCA_023690525.1,ASM2369052v1,Chromosome,reference genome,1415.11,369487,159026469,1158,34.5,yes,NCBI/RefSeq,NCBI,,PRJNA812706,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_023690525.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_023690525.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_023690525.1.zip","datasets download genome accession GCA_023690525.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA812706,212.01469416043238,primary
Hycleus cichorii,Hycleus,Meloidae,Tenebrionoidea,Polyphaga,Coleoptera,ingroup,GCA_013841215.1,ASM1384121v1,Scaffold,reference genome,99.17,86942,99766,13823,32.5,yes,NCBI/RefSeq,NCBI,,PRJNA390850,,,,,,,published_open,,,no,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_013841215.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_013841215.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_013841215.1.zip","datasets download genome accession GCA_013841215.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA390850,139.98982560042793,primary
Hycleus marcipoli,Hycleus,Meloidae,Tenebrionoidea,Polyphaga,Coleoptera,ingroup,GCA_051167335.1,ASM5116733v1,Chromosome,reference genome,111.45,4646650,10223839,151,32.0,yes,NCBI/RefSeq,NCBI,,PRJNA1225931,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_051167335.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_051167335.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_051167335.1.zip","datasets download genome accession GCA_051167335.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1225931,200.0961400181177,primary
Hycleus phaleratus,Hycleus,Meloidae,Tenebrionoidea,Polyphaga,Coleoptera,ingroup,GCA_013841185.1,ASM1384118v1,Scaffold,reference genome,90.87,75478,78049,12877,32.0,yes,NCBI/RefSeq,NCBI,,PRJNA390850,,,,,,,published_open,,,no,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_013841185.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_013841185.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_013841185.1.zip","datasets download genome accession GCA_013841185.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA390850,138.92367343051683,primary
Hydrochus callosus,Hydrochus,Hydrochidae,Hydrophiloidea,Polyphaga,Coleoptera,ingroup,GCA_033557855.1,ASM3355785v1,Contig,reference genome,20.91,75369,75369,269,42.5,yes,NCBI/RefSeq,NCBI,,PRJNA977672,,,,,,,published_open,,,no,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_033557855.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_033557855.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_033557855.1.zip","datasets download genome accession GCA_033557855.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA977672,98.77192753067159,primary
Hypera rumicis,Hypera,Curculionidae,Curculionoidea,Polyphaga,Coleoptera,ingroup,GCA_965643735.1,icHypRumi1.hap1.1,Chromosome,reference genome,1773.45,11225160,205520964,95,33.5,yes,NCBI/RefSeq,NCBI,,PRJEB94005,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_965643735.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_965643735.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_965643735.1.zip","datasets download genome accession GCA_965643735.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB94005,213.12856128329616,primary
Hypothenemus hampei,Hypothenemus,Curculionidae,Curculionoidea,Polyphaga,Coleoptera,ingroup,GCA_041296355.1,Hham4.1,Scaffold,reference genome,172.63,13972184,13972216,113,32.5,yes,NCBI/RefSeq,NCBI,,PRJNA1110552,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_041296355.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_041296355.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_041296355.1.zip","datasets download genome accession GCA_041296355.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1110552,161.4526529088509,primary
Ichthyurus bourgeoisi,Ichthyurus,Cantharidae,Elateroidea,Polyphaga,Coleoptera,ingroup,GCA_052863015.1,HBU_Ibou_V1,Chromosome,reference genome,664.72,43915757,98116930,28,34.5,yes,NCBI/RefSeq,NCBI,,PRJNA1308319,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_052863015.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_052863015.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_052863015.1.zip","datasets download genome accession GCA_052863015.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1308319,209.91743951021118,primary
Ignelater luminosus,Ignelater,Elateridae,Elateroidea,Polyphaga,Coleoptera,ingroup,GCA_011009095.1,Ilumi1.2,Scaffold,reference genome,842.9,31102,95789,91322,33.5,yes,NCBI/RefSeq,NCBI,,PRJNA418169,,,,,,,published_open,,,no,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_011009095.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_011009095.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_011009095.1.zip","datasets download genome accession GCA_011009095.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA418169,139.8131563941686,primary
Ips nitidus,Ips,Curculionidae,Curculionoidea,Polyphaga,Coleoptera,ingroup,GCA_018691245.2,ASM1869124v2,Chromosome,reference genome,231.41,16438241,16438241,210,35.0,yes,NCBI/RefSeq,NCBI,,PRJNA722788,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_018691245.2/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_018691245.2/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_018691245.2.zip","datasets download genome accession GCA_018691245.2 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA722788,202.15855343321752,primary
Ips sexdentatus,Ips,Curculionidae,Curculionoidea,Polyphaga,Coleoptera,ingroup,GCA_976954535.1,icIpsSexd1.hap1.1,Chromosome,reference genome,284.38,8200202,28052552,30,35.0,yes,NCBI/RefSeq,NCBI,,PRJEB98041,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_976954535.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_976954535.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_976954535.1.zip","datasets download genome accession GCA_976954535.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB98041,204.47972376077144,primary
Ips typographus,Ips,Curculionidae,Curculionoidea,Polyphaga,Coleoptera,ingroup,GCA_016097725.2,UJ_Ityp_2.0,Chromosome,reference genome,224.98,8272750,12144430,73,35.0,yes,NCBI/RefSeq,NCBI,,PRJNA671615,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_016097725.2/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_016097725.2/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_016097725.2.zip","datasets download genome accession GCA_016097725.2 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA671615,200.84377135965855,primary
Iselma pallidipennis,Iselma,Meloidae,Tenebrionoidea,Polyphaga,Coleoptera,ingroup,GCA_037464855.1,ASM3746485v1,Scaffold,reference genome,107.3,21541,61839,4652,32.5,yes,NCBI/RefSeq,NCBI,,PRJNA1067880,,,,,,,published_open,,,no,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_037464855.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_037464855.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_037464855.1.zip","datasets download genome accession GCA_037464855.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1067880,137.91262457980233,primary
Kibakoganea sinica,Kibakoganea,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera,ingroup,GCA_043790905.1,ASM4379090v1,Chromosome,reference genome,601.44,24491710,60227683,23,35.0,yes,NCBI/RefSeq,NCBI,,PRJNA1120644,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_043790905.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_043790905.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_043790905.1.zip","datasets download genome accession GCA_043790905.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1120644,207.7979615588733,primary
Kibakoganea tamdaoensis,Kibakoganea,Scarabaeidae,Scarabaeoidea,Polyphaga,Coleoptera,ingroup,GCA_046237675.1,kiba_001,Chromosome,reference genome,605.33,6125000,61839633,43,36.0,yes,NCBI/RefSeq,NCBI,,PRJNA1188715,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_046237675.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_046237675.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_046237675.1.zip","datasets download genome accession GCA_046237675.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1188715,207.91266903508136,primary
Kirghizoleon cubitalis,Kirghizoleon,Myrmeleontidae,,Myrmeleontiformia,Neuroptera,outgroup,GCA_055703485.1,ASM5570348v1,Scaffold,reference genome,493.62,2000,2002,257534,28.0,yes,NCBI/RefSeq,NCBI,,PRJNA1403738,,,,,,,published_open,,,no,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_055703485.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_055703485.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_055703485.1.zip","datasets download genome accession GCA_055703485.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1403738,123.01464073143299,primary
Kurasawatrechus hirakei hirakei,Kurasawatrechus,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_050230135.1,HU_Khir_1.0,Scaffold,reference genome,647.79,4320,7060,167926,31.0,yes,NCBI/RefSeq,NCBI,,PRJNA1237515,,,,,,,published_open,,,no,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_050230135.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_050230135.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_050230135.1.zip","datasets download genome accession GCA_050230135.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1237515,128.48804701051804,primary
Kuschelorhynchus macadamiae,Kuschelorhynchus,Curculionidae,Curculionoidea,Polyphaga,Coleoptera,ingroup,GCA_030620095.1,CSIRO_AGI_Kmac_V1,Contig,reference genome,2040.83,989531,989531,5521,32.0,yes,NCBI/RefSeq,NCBI,,PRJNA1000277,,,,,,,published_open,,,conditional,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_030620095.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_030620095.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_030620095.1.zip","datasets download genome accession GCA_030620095.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1000277,109.95429404321143,primary
Kyklioacalles roboris,Kyklioacalles,Curculionidae,Curculionoidea,Polyphaga,Coleoptera,ingroup,GCA_964211925.1,icKykRobo1.hap1.1,Chromosome,reference genome,698.93,2967359,30383510,964,34.0,yes,NCBI/RefSeq,NCBI,,PRJEB78586,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964211925.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_964211925.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_964211925.1.zip","datasets download genome accession GCA_964211925.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB78586,204.82637943508922,primary
Labidoglobus nevermanni,Labidoglobus,Staphylinidae,Staphylinoidea,Polyphaga,Coleoptera,ingroup,GCA_025447835.1,ASM2544783v1,Scaffold,reference genome,118.83,6360,7524,71689,43.5,yes,NCBI/RefSeq,NCBI,,PRJNA352554,,,,,,,published_open,,,no,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_025447835.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_025447835.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_025447835.1.zip","datasets download genome accession GCA_025447835.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA352554,128.76448786878342,primary
Labidomera clivicollis,Labidomera,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera,ingroup,GCA_051313465.2,icLabCliv1_p1.2,Scaffold,reference genome,979.02,991131,45069713,475,35.0,yes,NCBI/RefSeq,NCBI,,PRJNA1153340,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_051313465.2/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_051313465.2/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_051313465.2.zip","datasets download genome accession GCA_051313465.2 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1153340,166.53884792530414,primary
