organism,taxid,family,suborder,project,assembly_name,status,goat_sequencing_status,accession,wgs_accession,assembly_span_mb,contig_n50,assembly_level,goat_assembly_id,record_type,in_tob_inventory
Liopterus haemorrhoidalis,107794,Dytiscidae,Adephaga,DToL,icLioHaem2.1 alternate haplotype,alternate_haplotype,published,GCA_963971565.1,CAXASO01,920.55,400796,Scaffold,GCA_963971565.1,assembly,yes
Lissagria laeviuscula,505471,Staphylinidae,Polyphaga,unknown,Caltech_Lis_1.0,alternate_haplotype,published,GCA_030264695.1,JARJDU01,225.63,4854,Scaffold,GCA_030264695.1,assembly,yes
Lochmaea capreae,227480,Chrysomelidae,Polyphaga,DToL,icLocCapr1.1 alternate haplotype,alternate_haplotype,published,GCA_949126855.1,CASBPM01,527.33,2598267,Scaffold,GCA_949126855.1,assembly,yes
Lochmaea crataegi,1143063,Chrysomelidae,Polyphaga,DToL,icLocCrat2.1 alternate haplotype,alternate_haplotype,published,GCA_947563735.1,CANOBB01,736.12,303436,Contig,GCA_947563735.1,assembly,yes
Lordithon lunulatus,347394,Staphylinidae,Polyphaga,DToL,icLorLunu1.1 alternate haplotype,alternate_haplotype,published,GCA_963942465.1,CAWWDS01,606.29,495246,Contig,GCA_963942465.1,assembly,yes
Lucanus miwai,618043,Lucanidae,Polyphaga,unknown,Lucanus_miwai_v1,Scaffold,published,GCA_050437245.1,JBKGTV01,474.98,2023276,Scaffold,GCA_050437245.1,assembly,yes
Luciola italica,344611,Lampyridae,Polyphaga,unknown,ASM5485962v1,Chromosome,published,GCA_054859625.1,JBUCPK01,1210.01,517804,Chromosome,GCA_054859625.1,assembly,yes
Luperus longicornis,281588,Chrysomelidae,Polyphaga,DToL,icLupLong2.1,Chromosome,published,GCA_982374535.1,CEVVGC01,1340.42,748388,Chromosome,GCA_982374535.1,assembly,yes
Luperus longicornis,281588,Chrysomelidae,Polyphaga,DToL,icLupLong2.1 alternate haplotype,alternate_haplotype,published,GCA_982374335.1,CEVVGF01,1225.1,152057,Scaffold,GCA_982374335.1,assembly,yes
Lycocerus yunnanus,2983378,Cantharidae,Polyphaga,unknown,kiz_Msp_v1,Contig,published,GCA_036346125.1,JARFIX01,392.74,3446455,Contig,GCA_036346125.1,assembly,yes
Lydus trimaculatus,2785641,Meloidae,Polyphaga,unknown,ASM3741475v1,Scaffold,published,GCA_037414755.1,JAZBGY01,114.12,31079,Scaffold,GCA_037414755.1,assembly,yes
Malachius bipustulatus,295700,Melyridae,Polyphaga,DToL,icMalBipu1.1 alternate haplotype,alternate_haplotype,published,GCA_910589365.1,CAJUUN01,542.32,945557,Scaffold,GCA_910589365.1,assembly,yes
Malthinus flaveolus,195224,Cantharidae,Polyphaga,DToL,icMalFlav1.1 alternate haplotype,alternate_haplotype,published,GCA_950111595.1,CATNNG01,233.62,720151,Contig,GCA_950111595.1,assembly,yes
Malthinus seriepunctatus,1588223,Cantharidae,Polyphaga,DToL,icMalSeri1.1 alternate haplotype,alternate_haplotype,published,GCA_963924635.1,CAWUQM01,379.96,146722,Scaffold,GCA_963924635.1,assembly,yes
Malthodes minimus,878135,Cantharidae,Polyphaga,DToL,icMalMini1.1 alternate haplotype,alternate_haplotype,published,GCA_964263265.1,CAXVUW01,523.48,164693,Scaffold,GCA_964263265.1,assembly,yes
Vesta saturnalis,370603,Lampyridae,Polyphaga,unknown,kiz_Ves_v1,Contig,published,GCA_036346205.1,JARFJB01,2140.13,2975991,Contig,GCA_036346205.1,assembly,yes
Weissflogia rhopalogaster,1962808,Staphylinidae,Polyphaga,unknown,ASM1941984v2,Scaffold,published,GCA_019419845.2,WSZQ02,235.1,7721,Scaffold,GCA_019419845.2,assembly,yes
Xestobium rufovillosum,879067,Ptinidae,Polyphaga,DToL,icXesRufo2.2 alternate haplotype,alternate_haplotype,published,GCA_963966065.2,CAWYPW02,439.98,539148,Contig,GCA_963966065.2,assembly,yes
Xyleborus affinis,105120,Curculionidae,Polyphaga,unknown,ASM4676635v1,Scaffold,published,GCA_046766355.1,JBKIBS01,219.08,84369,Scaffold,GCA_046766355.1,assembly,yes
Xyleborus bispinatus,995685,Curculionidae,Polyphaga,unknown,ASM4917621v1,Scaffold,published,GCA_049176215.1,JBMBXN01,161.71,139662,Scaffold,GCA_049176215.1,assembly,yes
Xyleborus glabratus,889492,Curculionidae,Polyphaga,unknown,ASM4917623v1,Scaffold,published,GCA_049176235.1,JBMBXO01,239.51,27990,Scaffold,GCA_049176235.1,assembly,yes
Zonitis immaculata,2981214,Meloidae,Polyphaga,unknown,ASM3741477v1,Scaffold,published,GCA_037414775.1,JAZBGX01,102.04,9755,Scaffold,GCA_037414775.1,assembly,yes
Zophobas morio,2755281,Tenebrionidae,Polyphaga,unknown,CSIRO_AGI_Zmor_V1,Contig,published,GCA_036711695.1,JAVQLY01,592.43,15905963,Contig,GCA_036711695.1,assembly,yes
Zophobas morio,2755281,Tenebrionidae,Polyphaga,unknown,ASM2772472v1,Scaffold,published,GCA_027724725.1,JALNTZ01,461.97,228171,Scaffold,GCA_027724725.1,assembly,yes
Zophobas morio,2755281,Tenebrionidae,Polyphaga,unknown,QZTC_Za_1.0,Scaffold,published,GCA_042767095.1,JBHEBL01,619.41,4352000,Scaffold,GCA_042767095.1,assembly,yes
Zygogramma bicolorata,937811,Chrysomelidae,Polyphaga,unknown,CCMB_ZBic_1.2,Scaffold,published,GCA_032362365.1,JAVJAQ01,935.91,448050,Scaffold,GCA_032362365.1,assembly,yes
Leptodirus hochenwartii,2996356,Leiodidae,Polyphaga,DToL,icLepHoch12.1,Chromosome,published,GCA_947310635.1,CAMZJO01,492.36,3374168,Chromosome,GCA_947310635.1,assembly,yes
Lagria hirta,296003,Tenebrionidae,Polyphaga,DToL,icLagHirt1.1,Chromosome,published,GCA_947359425.1,CANAHW01,336.77,7715647,Chromosome,GCA_947359425.1,assembly,yes
Cantharis rufa,350087,Cantharidae,Polyphaga,DToL,icCanRufa1.1,Chromosome,published,GCA_947369205.1,CANBKR01,355.31,10477904,Chromosome,GCA_947369205.1,assembly,yes
Pterostichus niger,106386,Carabidae,Adephaga,DToL,icPteNige1.1,Chromosome,published,GCA_947425015.1,CANDYQ01,674.08,2834613,Chromosome,GCA_947425015.1,assembly,yes
Agonum fuliginosum,1553040,Carabidae,Adephaga,DToL,icAgoFuli1.1,Chromosome,published,GCA_947534325.1,CANNYK01,695.89,12663309,Chromosome,GCA_947534325.1,assembly,yes
Lochmaea crataegi,1143063,Chrysomelidae,Polyphaga,DToL,icLocCrat2.1,Chromosome,published,GCA_947563755.1,CANOBC01,891.28,2848502,Chromosome,GCA_947563755.1,assembly,yes
Elmis aenea,186982,Elmidae,Polyphaga,DToL,icElmAene2.1,Chromosome,published,GCA_947652605.1,CANTFG01,516.5,911544,Chromosome,GCA_947652605.1,assembly,yes
Lochmaea capreae,227480,Chrysomelidae,Polyphaga,DToL,icLocCapr1.1,Chromosome,published,GCA_949126875.1,CASBPL01,534.67,9517382,Chromosome,GCA_949126875.1,assembly,yes
Cetonia aurata,290679,Scarabaeidae,Polyphaga,DToL,icCetAura1.1,Chromosome,published,GCA_949128085.1,CASBRL01,479.63,8085049,Chromosome,GCA_949128085.1,assembly,yes
Cantharis flavilabris,877752,Cantharidae,Polyphaga,DToL,icCanFlav1.1,Chromosome,published,GCA_949152465.1,CASCJT01,348.29,10505090,Chromosome,GCA_949152465.1,assembly,yes
Bruchidius siliquastri,1649775,Chrysomelidae,Polyphaga,DToL,icBruSili1.1,Chromosome,published,GCA_949316355.1,CASGFI01,375.57,7036267,Chromosome,GCA_949316355.1,assembly,yes
Hemicrepidius niger,869179,Elateridae,Polyphaga,DToL,icHemNige1.1,Chromosome,published,GCA_963082805.1,CAUJBB01,377.55,7643588,Chromosome,GCA_963082805.1,assembly,yes
Philonthus spinipes,878362,Staphylinidae,Polyphaga,DToL,icPhiSpin1.1,Chromosome,published,GCA_963082785.1,CAUJBH01,671.06,8244937,Chromosome,GCA_963082785.1,assembly,yes
Melanotus villosus,346801,Elateridae,Polyphaga,DToL,icMelVill1.1,Chromosome,published,GCA_963082815.1,CAUJBP01,803.47,13836834,Chromosome,GCA_963082815.1,assembly,yes
Harpalus rubripes,247297,Carabidae,Adephaga,DToL,icHarRubr1.1,Chromosome,published,GCA_963082715.1,CAUJCB01,1253.23,5994626,Chromosome,GCA_963082715.1,assembly,yes
Cantharis lateralis,877886,Cantharidae,Polyphaga,DToL,icCanLate1.1,Chromosome,published,GCA_963170105.1,CAUJGK01,332.18,10697386,Chromosome,GCA_963170105.1,assembly,yes
Amphimallon solstitiale,360071,Scarabaeidae,Polyphaga,DToL,icAmpSols1.1,Chromosome,published,GCA_963170755.1,CAUJHA01,1584.14,3724788,Chromosome,GCA_963170755.1,assembly,yes
Neocrepidodera transversa,877844,Chrysomelidae,Polyphaga,DToL,icNeoTran1.1,Chromosome,published,GCA_963243735.1,CAUJLB01,671.3,5881602,Chromosome,GCA_963243735.1,assembly,yes
Carabus problematicus,49291,Carabidae,Adephaga,DToL,icCarProb1.1,Chromosome,published,GCA_963422195.1,CAUJRV01,253.95,4259000,Chromosome,GCA_963422195.1,assembly,yes
Nicrophorus investigator,414950,Silphidae,Polyphaga,DToL,icNicInve2.1,Chromosome,published,GCA_963457615.1,CAUOPU01,202.27,3077846,Chromosome,GCA_963457615.1,assembly,yes
Agelastica alni,131577,Chrysomelidae,Polyphaga,DToL,icAgeAlni6.2,Chromosome,published,GCA_950111635.2,CATNNH02,692.27,4545743,Chromosome,GCA_950111635.2,assembly,yes
Cryptophagus acutangulus,1553241,Cryptophagidae,Polyphaga,DToL,icCryAcut1.1,Chromosome,published,GCA_963556235.1,CAUVYR01,177.32,622935,Chromosome,GCA_963556235.1,assembly,yes
Cryptocephalus primarius,1587206,Chrysomelidae,Polyphaga,DToL,icCryPrim1.1,Chromosome,published,GCA_963576515.1,CAUYVM01,370.99,1867949,Chromosome,GCA_963576515.1,assembly,yes
Aspidapion aeneum,877730,Apionidae,Polyphaga,DToL,icAspAene1.1,Chromosome,published,GCA_963576565.1,CAUYVT01,1286.16,3520329,Chromosome,GCA_963576565.1,assembly,yes
Gastrophysa polygoni,878018,Chrysomelidae,Polyphaga,DToL,icGasPoly1.1,Chromosome,published,GCA_963576655.1,CAUYVZ01,369.75,2815411,Chromosome,GCA_963576655.1,assembly,yes
Polydrusus tereticollis,1342093,Curculionidae,Polyphaga,DToL,icPolTere1.1,Chromosome,published,GCA_963576705.1,CAUYWN01,1392.68,1537882,Chromosome,GCA_963576705.1,assembly,yes
Polydrusus tereticollis,1342093,Curculionidae,Polyphaga,DToL,icPolTere2.1,Chromosome,published,GCA_963920685.1,CAWUCV01,1396.11,4992693,Chromosome,GCA_963920685.1,assembly,yes
Stenurella melanura,877990,Cerambycidae,Polyphaga,DToL,icSteMela1.1,Chromosome,published,GCA_963583905.1,CAUZXK01,1616.89,3913043,Chromosome,GCA_963583905.1,assembly,yes
Diaperis boleti,433215,Tenebrionidae,Polyphaga,DToL,icDiaBole1.1,Chromosome,published,GCA_963583935.1,CAUZXG01,542.62,11653919,Chromosome,GCA_963583935.1,assembly,yes
Plagiodera versicolora,154017,Chrysomelidae,Polyphaga,DToL,icPlaVers1.1,Chromosome,published,GCA_963584125.1,CAUZXO01,236.72,4745322,Chromosome,GCA_963584125.1,assembly,yes
Leptura quadrifasciata,1143061,Cerambycidae,Polyphaga,DToL,icLepQuad1.1,Chromosome,published,GCA_963675555.1,CAVMBH01,1403.94,5389979,Chromosome,GCA_963675555.1,assembly,yes
Rhagium mordax,295679,Cerambycidae,Polyphaga,DToL,icRhaMord1.1,Chromosome,published,GCA_963680705.1,CAVMFP01,775.64,2857000,Chromosome,GCA_963680705.1,assembly,yes
Hololepta plana,290657,Histeridae,Polyphaga,DToL,icHolPlan1.2,Chromosome,published,GCA_963695495.2,CAVOJK02,139.51,2199103,Chromosome,GCA_963695495.2,assembly,yes
Pseudeuparius sepicola,1586585,Anthribidae,Polyphaga,DToL,icEneSepi1.1,Chromosome,published,GCA_963920635.1,CAWUCT01,769.06,12710576,Chromosome,GCA_963920635.1,assembly,yes
Cartodere bifasciata,1587142,Latridiidae,Polyphaga,DToL,icCarBifa1.1,Chromosome,published,GCA_963920755.1,CAWUCL01,178.08,3482428,Chromosome,GCA_963920755.1,assembly,yes
Galeruca laticollis,2017130,Chrysomelidae,Polyphaga,DToL,icGalLati1.1,Chromosome,published,GCA_963921935.1,CAWUHM01,2154.56,6429013,Chromosome,GCA_963921935.1,assembly,yes
Agrilus biguttatus,324823,Buprestidae,Polyphaga,DToL,icAgrBigu1.1,Chromosome,published,GCA_963921985.1,CAWUHG01,368.11,11522278,Chromosome,GCA_963921985.1,assembly,yes
Oxystoma pomonae,1588336,Apionidae,Polyphaga,DToL,icOxyPomo2.1,Chromosome,published,GCA_963921995.1,CAWUHK01,1174.34,11698280,Chromosome,GCA_963921995.1,assembly,yes
Pogonocherus hispidulus,1143099,Cerambycidae,Polyphaga,DToL,icPogHisp1.1,Chromosome,published,GCA_963924545.1,CAWUQG01,704.44,8036892,Chromosome,GCA_963924545.1,assembly,yes
Pycnomerus fuliginosus,878397,Zopheridae,Polyphaga,DToL,icPycFuli2.1,Chromosome,published,GCA_963924575.1,CAWUQC01,359.22,7625985,Chromosome,GCA_963924575.1,assembly,yes
Malthinus seriepunctatus,1588223,Cantharidae,Polyphaga,DToL,icMalSeri1.1,Chromosome,published,GCA_963924605.1,CAWUQA01,338.81,2081540,Chromosome,GCA_963924605.1,assembly,yes
Silvanus unidentatus,295940,Silvanidae,Polyphaga,DToL,icSilUnid1.1,Chromosome,published,GCA_963930825.1,CAWVOD01,187.15,2207987,Chromosome,GCA_963930825.1,assembly,yes
Tachinus rufipes,1588496,Staphylinidae,Polyphaga,DToL,icTacRufp1.1,Chromosome,published,GCA_963932245.1,CAWVQR01,1151.98,12054482,Chromosome,GCA_963932245.1,assembly,yes
Pediacus dermestoides,878348,Cucujidae,Polyphaga,DToL,icPedDerm1.1,Chromosome,published,GCA_963942485.1,CAWWDI01,235.02,5783852,Chromosome,GCA_963942485.1,assembly,yes
Lordithon lunulatus,347394,Staphylinidae,Polyphaga,DToL,icLorLunu1.1,Chromosome,published,GCA_963942505.1,CAWWDN01,674.37,4216376,Chromosome,GCA_963942505.1,assembly,yes
Poecilus cupreus,270614,Carabidae,Adephaga,DToL,icPoeCupr1.1,Chromosome,published,GCA_963942605.1,CAWWDY01,748.48,4481000,Chromosome,GCA_963942605.1,assembly,yes
Aphidecta obliterata,1501862,Coccinellidae,Polyphaga,DToL,icAphObli1.1,Chromosome,published,GCA_963966015.1,CAWYPM01,349.56,4463513,Chromosome,GCA_963966015.1,assembly,yes
Xestobium rufovillosum,879067,Ptinidae,Polyphaga,DToL,icXesRufo2.2,Chromosome,published,GCA_963966045.2,CAWYPU02,475.54,7346478,Chromosome,GCA_963966045.2,assembly,yes
Aphodius sticticus,207213,Scarabaeidae,Polyphaga,DToL,icAphStic4.1,Chromosome,published,GCA_963966075.1,CAWYPV01,628.43,4795419,Chromosome,GCA_963966075.1,assembly,yes
Tenebrio molitor,7067,Tenebrionidae,Polyphaga,DToL,icTenMoli1.1,Chromosome,published,GCA_963966145.1,CAWYQD01,276.96,7033857,Chromosome,GCA_963966145.1,assembly,yes
Clivina fossor,795047,Carabidae,Adephaga,DToL,icCliFoss2.1,Chromosome,published,GCA_963966155.1,CAWYQG01,612.6,4843297,Chromosome,GCA_963966155.1,assembly,yes
Ontholestes murinus,875675,Staphylinidae,Polyphaga,DToL,icOntMuri1.1,Chromosome,published,GCA_963969525.1,CAXAKX01,1023.31,662260,Chromosome,GCA_963969525.1,assembly,yes
Polydrusus pterygomalis,202138,Curculionidae,Polyphaga,DToL,icPolPter2.1,Chromosome,published,GCA_963969555.1,CAXAKW01,1051.55,23161000,Chromosome,GCA_963969555.1,assembly,yes
Stenus bimaculatus,1202164,Staphylinidae,Polyphaga,DToL,icSteBima1.1,Chromosome,published,GCA_963971135.1,CAXARA01,450.58,3547562,Chromosome,GCA_963971135.1,assembly,yes
Philopedon plagiatum,202117,Curculionidae,Polyphaga,DToL,icPhiPlag1.1,Chromosome,published,GCA_963971165.1,CAXARB01,1080.33,1795000,Chromosome,GCA_963971165.1,assembly,yes
Aphodius granarius,207157,Scarabaeidae,Polyphaga,DToL,icAphGran1.1,Chromosome,published,GCA_963971325.1,CAXARF01,397.2,4076730,Chromosome,GCA_963971325.1,assembly,yes
Liopterus haemorrhoidalis,107794,Dytiscidae,Adephaga,DToL,icLioHaem2.1,Chromosome,published,GCA_963971575.1,CAXASN01,1020.11,2239306,Chromosome,GCA_963971575.1,assembly,yes
Galerucella nymphaeae,131645,Chrysomelidae,Polyphaga,DToL,icGalNymp1.1,Chromosome,published,GCA_963978555.1,CAXBTC01,350.17,6699100,Chromosome,GCA_963978555.1,assembly,yes
Aleochara curtula,135881,Staphylinidae,Polyphaga,DToL,icAleCurt1.1,Chromosome,published,GCA_963978815.1,CAXBUE01,136.97,8903095,Chromosome,GCA_963978815.1,assembly,yes
Dromius quadrimaculatus,346772,Carabidae,Adephaga,DToL,icDroQuad1.1,Chromosome,published,GCA_963989225.1,CAXDIG01,778.78,25783000,Chromosome,GCA_963989225.1,assembly,yes
Barypeithes pellucidus,397350,Curculionidae,Polyphaga,DToL,icBarPell3.1,Chromosome,published,GCA_963991005.1,CAXDRF01,743.71,12223848,Chromosome,GCA_963991005.1,assembly,yes
Tillus elongatus,295696,Cleridae,Polyphaga,DToL,icTilElon2.1,Chromosome,published,GCA_964006375.1,CAXFZL01,1719.08,4001000,Chromosome,GCA_964006375.1,assembly,yes
Leptinotarsa decemlineata,7539,Chrysomelidae,Polyphaga,unknown,Ldec_2.0,Scaffold,published,GCA_000500325.2,AYNB02,641.99,46596,Scaffold,GCA_000500325.2,assembly,yes
Coccinella septempunctata,41139,Coccinellidae,Polyphaga,unknown,Csep_MD8_v1,Scaffold,published,GCA_003568925.1,BHEC01,514.96,21314,Scaffold,GCA_003568925.1,assembly,yes
Coccinella septempunctata,41139,Coccinellidae,Polyphaga,DToL,icCocSept1.1,Chromosome,published,GCA_907165205.1,CAJRAZ01,398.85,16512651,Chromosome,GCA_907165205.1,assembly,yes
Harmonia axyridis,115357,Coccinellidae,Polyphaga,unknown,Haxy_hA_F2_v1,Scaffold,published,GCA_003865275.1,BHED01,510.55,23772,Scaffold,GCA_003865275.1,assembly,yes
Harmonia axyridis,115357,Coccinellidae,Polyphaga,unknown,Haxy_hC_NT6_v1,Scaffold,published,GCA_003865295.1,BHEE01,581.41,24360,Scaffold,GCA_003865295.1,assembly,yes
Harmonia axyridis,115357,Coccinellidae,Polyphaga,unknown,Haxy_h_NT8_v1,Scaffold,published,GCA_003865315.1,BHEF01,557.78,26622,Scaffold,GCA_003865315.1,assembly,yes
Harmonia axyridis,115357,Coccinellidae,Polyphaga,DToL,icHarAxyr1.1,Chromosome,published,GCA_914767665.1,CAJZBN01,425.52,22915403,Chromosome,GCA_914767665.1,assembly,yes
Trypoxylus dichotomus,273928,Scarabaeidae,Polyphaga,unknown,ASM1490549v1,Contig,published,GCA_014905495.1,BNES01,739.41,7929129,Contig,GCA_014905495.1,assembly,yes
Trypoxylus dichotomus,273928,Scarabaeidae,Polyphaga,unknown,ZAFU_TdicV1,Chromosome,published,GCA_023509865.1,JAENHH01,636.27,12989000,Chromosome,GCA_023509865.1,assembly,yes
Marronus borbonicus,2654888,Scarabaeidae,Polyphaga,unknown,Marronus_mpgtue_10X,Scaffold,published,GCA_902655005.2,CACRWH01,441.47,96023,Scaffold,GCA_902655005.2,assembly,yes
Rhagonycha fulva,41101,Cantharidae,Polyphaga,DToL,icRhaFulv1.1,Chromosome,published,GCA_905340355.1,CAJPIC01,424.66,21086067,Chromosome,GCA_905340355.1,assembly,yes
Malachius bipustulatus,295700,Melyridae,Polyphaga,DToL,icMalBipu1.1,Chromosome,published,GCA_910589415.1,CAJUUM01,544.24,5740145,Chromosome,GCA_910589415.1,assembly,yes
Adalia bipunctata,7084,Coccinellidae,Polyphaga,DToL,icAdaBipu1.1,Chromosome,published,GCA_910592335.1,CAJUZD01,475.27,18317171,Chromosome,GCA_910592335.1,assembly,yes
Cantharis rustica,195172,Cantharidae,Polyphaga,DToL,icCanRust1.1,Chromosome,published,GCA_911387805.1,CAJVQO01,445.92,17823022,Chromosome,GCA_911387805.1,assembly,yes
Agrypnus murinus,195168,Elateridae,Polyphaga,DToL,icAgrMuri1.1,Chromosome,published,GCA_929113105.1,CAKMYN01,1578.51,4463000,Chromosome,GCA_929113105.1,assembly,yes
Podabrus alpinus,1553677,Cantharidae,Polyphaga,DToL,icPodAlpi1.1,Chromosome,published,GCA_932274525.1,CAKNZV01,777.24,9879682,Chromosome,GCA_932274525.1,assembly,yes
Philonthus cognatus,346820,Staphylinidae,Polyphaga,DToL,icPhiCogn1.2,Chromosome,published,GCA_932526585.2,CAKOBO02,1030.55,29486216,Chromosome,GCA_932526585.2,assembly,yes
Leistus spinibarbis,878056,Carabidae,Adephaga,DToL,icLeiSpin1.1,Chromosome,published,GCA_933228885.1,CAKOGD01,235.12,7480091,Chromosome,GCA_933228885.1,assembly,yes
Polydrusus cervinus,202137,Curculionidae,Polyphaga,DToL,icPolCerv1.1,Chromosome,published,GCA_935413205.1,CAKXYR01,713.36,19113408,Chromosome,GCA_935413205.1,assembly,yes
Melolontha melolontha,7061,Scarabaeidae,Polyphaga,DToL,icMelMelo1.2,Chromosome,published,GCA_935421215.2,CAKXYW02,1656.87,5929690,Chromosome,GCA_935421215.2,assembly,yes
Halyzia sedecimguttata,347359,Coccinellidae,Polyphaga,DToL,icHalSede1.2,Chromosome,published,GCA_937662695.2,CALNDA02,919.09,14028202,Chromosome,GCA_937662695.2,assembly,yes
Ophonus ardosiacus,247415,Carabidae,Adephaga,DToL,icOphArdo1.1,Chromosome,published,GCA_943142095.1,CALPBS01,911.9,8331656,Chromosome,GCA_943142095.1,assembly,yes
Nebria salina,878211,Carabidae,Adephaga,DToL,icNebSali1.1,Chromosome,published,GCA_944039245.1,CALUEK01,256.72,3131785,Chromosome,GCA_944039245.1,assembly,yes
Chrysolina oricalcia,1587174,Chrysomelidae,Polyphaga,DToL,icChrOric1.2,Chromosome,published,GCA_944452925.2,CALYCE02,1423.44,6296000,Chromosome,GCA_944452925.2,assembly,yes
Nebria brevicollis,110024,Carabidae,Adephaga,DToL,icNebBrev1.1,Chromosome,published,GCA_944738965.1,CALYJB01,241.91,2458479,Chromosome,GCA_944738965.1,assembly,yes
Phosphuga atrata,414934,Silphidae,Polyphaga,DToL,icSilAtra2.1,Chromosome,published,GCA_944588485.1,CALYMW01,1199.98,2238738,Chromosome,GCA_944588485.1,assembly,yes
Cryptocephalus moraei,204949,Chrysomelidae,Polyphaga,DToL,icCryMora2.1,Chromosome,published,GCA_946251905.1,CAMIUK01,500.54,9642473,Chromosome,GCA_946251905.1,assembly,yes
Tetradonia laticeps,1886649,Staphylinidae,Polyphaga,unknown,ASM2540003v1,Scaffold,published,GCA_025400035.1,JAODVP01,201.38,2413,Scaffold,GCA_025400035.1,assembly,yes
Tetraopes melanurus,134893,Cerambycidae,Polyphaga,unknown,Tmel_1.0,Chromosome,published,GCA_054850815.1,JBPTTG01,684.56,23086903,Chromosome,GCA_054850815.1,assembly,yes
Tetraopes sublaevis,134895,Cerambycidae,Polyphaga,unknown,Tsub_1.0,Chromosome,published,GCA_054850805.1,JBPTTE01,755.59,5570646,Chromosome,GCA_054850805.1,assembly,yes
Tetraopes tetrophthalmus,1206596,Cerambycidae,Polyphaga,unknown,Ttet_1.0,Chromosome,published,GCA_054850835.1,JBPTTF01,788.9,5304993,Chromosome,GCA_054850835.1,assembly,yes
Tetraopes tetrophthalmus,1206596,Cerambycidae,Polyphaga,unknown,Ttra_1,Scaffold,published,GCA_042257075.1,JBBENX01,779.32,1658148,Scaffold,GCA_042257075.1,assembly,yes
Tetropium fuscum,256650,Cerambycidae,Polyphaga,DToL,icTetFusc2.1 alternate haplotype,alternate_haplotype,published,GCA_964058915.1,CAXKVY01,704.8,48991,Contig,GCA_964058915.1,assembly,yes
Thanatophilus sinuatus,414939,Silphidae,Polyphaga,unknown,ASM5112235v1,Chromosome,published,GCA_051122355.1,JBJVOB01,288.95,6249324,Chromosome,GCA_051122355.1,assembly,yes
Thyregis relictus,3050897,Scarabaeidae,Polyphaga,unknown,ASM3355749v1,Contig,published,GCA_033557495.1,JAWQRL01,21.54,4522,Contig,GCA_033557495.1,assembly,yes
Tillus elongatus,295696,Cleridae,Polyphaga,DToL,icTilElon2.1 alternate haplotype,alternate_haplotype,published,GCA_964006135.1,CAXFZV01,1769.39,89543,Scaffold,GCA_964006135.1,assembly,yes
Tomicus yunnanensis,768153,Curculionidae,Polyphaga,unknown,ASM5482515v1,Chromosome,published,GCA_054825155.1,JBTJBV01,378.22,228779,Chromosome,GCA_054825155.1,assembly,yes
Trechiama kuznetsovi,2989721,Carabidae,Adephaga,unknown,Tkuz1_2_m500_gapClosed,Scaffold,published,GCA_054771555.1,BSYM01,456.73,9573,Scaffold,GCA_054771555.1,assembly,yes
Trechiama lewisi,3410392,Carabidae,Adephaga,unknown,HU_Tlew_1.0,Scaffold,published,GCA_050230255.1,JBNCAH01,388.66,11403,Scaffold,GCA_050230255.1,assembly,yes
Tribolium castaneum,7070,Tenebrionidae,Polyphaga,DToL,icTriCast1.1,Chromosome,published,GCA_031307605.1,JANKOB01,241.85,16193484,Chromosome,GCA_031307605.1,assembly,yes
Tribolium castaneum,7070,Tenebrionidae,Polyphaga,DToL,icTriCast1.1 alternate haplotype,alternate_haplotype,published,GCA_031307295.1,JANKOC01,81.66,103976,Contig,GCA_031307295.1,assembly,yes
Tribolium castaneum,7070,Tenebrionidae,Polyphaga,unknown,inTcas1.0,Chromosome,published,GCA_041430155.1,JBGEWK01,165.54,22147,Chromosome,GCA_041430155.1,assembly,yes
Tribolium confusum,7071,Tenebrionidae,Polyphaga,DToL,icTriConf1.1,Scaffold,published,GCA_029207805.1,JALGAY01,437.21,11537194,Scaffold,GCA_029207805.1,assembly,yes
Tribolium confusum,7071,Tenebrionidae,Polyphaga,DToL,icTriConf1.1_alt,alternate_haplotype,published,GCA_029207795.1,JALGAZ01,202.53,110158,Scaffold,GCA_029207795.1,assembly,yes
Tribolium freemani,7072,Tenebrionidae,Polyphaga,unknown,Tfree1.0,Chromosome,published,GCA_939628115.1,,269.17,8487211,Chromosome,GCA_939628115.1,assembly,yes
Tribolium madens,41895,Tenebrionidae,Polyphaga,unknown,Tmad1.0,Contig,published,GCA_965279765.1,CBDIIN01,362.94,13786189,Contig,GCA_965279765.1,assembly,yes
Trigonoscuta pilosa,2919430,Curculionidae,Polyphaga,DToL,icTriPilo1.0.p,Scaffold,published,GCA_046128435.1,JBJXVV01,2263.65,354045,Scaffold,GCA_046128435.1,assembly,yes
Trigonoscuta pilosa,2919430,Curculionidae,Polyphaga,DToL,icTriPilo1.0.a,Contig,published,GCA_046128455.1,JBJXVW01,1951.36,326844,Contig,GCA_046128455.1,assembly,yes
Troglocharinus ferreri,1304164,Leiodidae,Polyphaga,DToL,icTroFerr3.1,Contig,published,GCA_982185335.1,CEUTWC01,404.2,3443960,Contig,GCA_982185335.1,assembly,yes
Trypodendron lineatum,105211,Curculionidae,Polyphaga,unknown,Tlin_Assembly_1.0,Contig,published,GCA_055532135.1,JBSOPU01,83.62,915233,Contig,GCA_055532135.1,assembly,yes
Trypoxylus dichotomus,273928,Scarabaeidae,Polyphaga,unknown,Trydic_1.0,Scaffold,published,GCA_050785125.1,BQNA01,614.92,155672,Scaffold,GCA_050785125.1,assembly,yes
