accession,organism,family,suborder,length_bp,submission_date,in_tob_winners
PQ140785.1,Agabus bipustulatus,Dytiscidae,Adephaga,17857,2025/01/30,no
PQ140786.1,Agabus bipustulatus,Dytiscidae,Adephaga,17809,2025/01/30,no
PQ140787.1,Agabus bipustulatus,Dytiscidae,Adephaga,17876,2025/01/30,no
PQ140788.1,Agabus bipustulatus,Dytiscidae,Adephaga,17843,2025/01/30,no
PV699636.1,Agabus sp.,Dytiscidae,Adephaga,17444,2026/01/20,no
PX924375.1,Allodessus skottsbergi,Dytiscidae,Adephaga,15711,2026/02/01,no
KT876885.1,Colymbetes fuscus,Dytiscidae,Adephaga,16211,2016/06/20,no
PQ139338.1,Coptotomus sp.,Dytiscidae,Adephaga,16371,2025/09/20,no
MZ504983.1,Cybister brevis,Dytiscidae,Adephaga,16198,2023/01/15,no
NC_070359.1,Cybister brevis,Dytiscidae,Adephaga,16198,2023/01/25,no
MW222470.1,Cybister japonicus,Dytiscidae,Adephaga,16848,2021/09/14,no
PV699637.1,Cybister tripunctatus,Dytiscidae,Adephaga,16666,2026/01/20,no
MH643816.2,Desmopachria sp. ITV9392,Dytiscidae,Adephaga,16616,2020/01/31,no
MW007723.1,Desmopachria sp. RRMO-2020,Dytiscidae,Adephaga,16583,2020/11/10,no
MW007724.1,Desmopachria sp. RRMO-2020,Dytiscidae,Adephaga,16614,2020/11/10,no
MW007725.1,Desmopachria sp. RRMO-2020,Dytiscidae,Adephaga,16614,2020/11/10,no
MW007726.1,Desmopachria sp. RRMO-2020,Dytiscidae,Adephaga,16614,2020/11/10,no
OQ526061.1,Dytiscidae gen. 1 sp. 1 AV-2023a,Dytiscidae,Adephaga,16203,2024/03/29,no
PP936172.1,Dytiscus marginalis czerskii,Dytiscidae,Adephaga,16937,2025/07/27,no
PQ474423.1,Dytiscus marginalis czerskii,Dytiscidae,Adephaga,18385,2024/11/20,no
LC466129.1,Dytiscus sharpi,Dytiscidae,Adephaga,19476,2019/08/31,no
NC_044757.1,Dytiscus sharpi,Dytiscidae,Adephaga,19476,2019/09/21,no
MN781132.1,Eretes sticticus,Dytiscidae,Adephaga,16196,2020/11/21,no
NC_054235.1,Eretes sticticus,Dytiscidae,Adephaga,16196,2021/04/15,no
PQ139339.1,Graphoderus sp.,Dytiscidae,Adephaga,16257,2025/09/20,no
MW465243.1,Hydrocolus stagnalis,Dytiscidae,Adephaga,16396,2021/02/23,no
NC_057538.1,Hydrocolus stagnalis,Dytiscidae,Adephaga,16396,2021/09/09,no
MW465244.1,Hydroporus analis,Dytiscidae,Adephaga,18823,2021/02/23,no
NC_057539.1,Hydroporus analis,Dytiscidae,Adephaga,18823,2021/09/09,no
KT876897.1,Hydroporus erythrocephalus,Dytiscidae,Adephaga,17698,2016/06/20,no
MW465248.1,Hydroporus planus,Dytiscidae,Adephaga,18818,2021/02/23,no
NC_057540.1,Hydroporus planus,Dytiscidae,Adephaga,18818,2021/09/09,no
MW465249.1,Hydroporus signatus,Dytiscidae,Adephaga,15240,2021/02/23,no
NC_057541.1,Hydroporus signatus,Dytiscidae,Adephaga,15240,2021/09/09,no
KT876901.1,Hygrotus confluens,Dytiscidae,Adephaga,17071,2016/06/20,no
KT876900.1,Hygrotus impressopunctatus,Dytiscidae,Adephaga,17968,2016/06/20,no
PV699635.1,Hygrotus impressopunctatus,Dytiscidae,Adephaga,16658,2026/01/20,no
KT876899.1,Hygrotus inaequalis,Dytiscidae,Adephaga,16730,2016/06/20,no
KX087299.1,Hygrotus nigrolineatus,Dytiscidae,Adephaga,16843,2017/10/13,no
MT874481.1,Hyphydrus ovatus,Dytiscidae,Adephaga,17566,2022/04/30,no
NC_063608.1,Hyphydrus ovatus,Dytiscidae,Adephaga,17566,2022/06/03,no
MW465251.1,Iberoporus pluto,Dytiscidae,Adephaga,17834,2021/02/23,no
NC_057542.1,Iberoporus pluto,Dytiscidae,Adephaga,17834,2021/09/09,no
PQ139340.1,Laccophilus javanicus,Dytiscidae,Adephaga,16645,2025/09/20,no
PQ139341.1,Lancetes angusticollis,Dytiscidae,Adephaga,15476,2025/09/20,no
PQ139342.1,Lancetes arauco,Dytiscidae,Adephaga,16161,2025/09/20,no
PQ139343.1,Lancetes backstromi,Dytiscidae,Adephaga,16297,2025/09/20,no
PQ139345.1,Lancetes borellii,Dytiscidae,Adephaga,16124,2025/09/20,no
PQ139346.1,Lancetes dacunhae,Dytiscidae,Adephaga,16168,2025/09/20,no
PQ139348.1,Lancetes flavipes,Dytiscidae,Adephaga,15906,2025/09/20,no
PQ139350.1,Lancetes immarginatus,Dytiscidae,Adephaga,16162,2025/09/20,no
PQ139351.1,Lancetes lanceolatus,Dytiscidae,Adephaga,16673,2025/09/20,no
PQ139352.1,Lancetes marginatus,Dytiscidae,Adephaga,16136,2025/09/20,no
PQ139353.1,Lancetes nigriceps,Dytiscidae,Adephaga,16107,2025/09/20,no
PQ139354.1,Lancetes nigriceps,Dytiscidae,Adephaga,16119,2025/09/20,no
PQ139355.1,Lancetes praemorsus,Dytiscidae,Adephaga,16120,2025/09/20,no
PQ139356.1,Lancetes subseriatus,Dytiscidae,Adephaga,16163,2025/09/20,no
PQ139357.1,Lancetes tarsalis,Dytiscidae,Adephaga,16589,2025/09/20,no
PQ139358.1,Lancetes theresae,Dytiscidae,Adephaga,16166,2025/09/20,no
PQ139359.1,Lancetes towianicus,Dytiscidae,Adephaga,16160,2025/09/20,no
PQ139361.1,Lancetes varius,Dytiscidae,Adephaga,16160,2025/09/20,no
MW465252.1,Leconectes striatellus,Dytiscidae,Adephaga,16324,2021/02/23,no
NC_057543.1,Leconectes striatellus,Dytiscidae,Adephaga,16324,2021/09/09,no
PQ197259.1,Limbodessus baliem,Dytiscidae,Adephaga,17522,2024/11/27,no
PQ197260.1,Limbodessus barwidgeeensis,Dytiscidae,Adephaga,16954,2024/11/27,no
PQ197262.1,Limbodessus bigbellensis,Dytiscidae,Adephaga,17523,2024/11/27,no
PQ197264.1,Limbodessus cooperi,Dytiscidae,Adephaga,16757,2024/11/27,no
PQ197265.1,Limbodessus cueensis,Dytiscidae,Adephaga,18293,2024/11/27,no
PQ197266.1,Limbodessus cunyuensis,Dytiscidae,Adephaga,17006,2024/11/27,no
PQ197267.1,Limbodessus curviplicatus,Dytiscidae,Adephaga,16736,2024/11/27,no
PQ197269.1,Limbodessus exilis,Dytiscidae,Adephaga,17042,2024/11/27,no
PQ197272.1,Limbodessus gumwellensis,Dytiscidae,Adephaga,20390,2024/11/27,no
PQ197273.1,Limbodessus hahni,Dytiscidae,Adephaga,17871,2024/11/27,no
PQ197286.1,Limbodessus micrommatoion,Dytiscidae,Adephaga,16192,2024/11/27,no
PQ197287.1,Limbodessus microocula,Dytiscidae,Adephaga,16175,2024/11/27,no
PQ197293.1,Limbodessus padburyensis,Dytiscidae,Adephaga,17211,2024/11/27,no
MG912994.1,Limbodessus palmulaoides,Dytiscidae,Adephaga,16868,2018/04/22,no
NC_037749.1,Limbodessus palmulaoides,Dytiscidae,Adephaga,16868,2018/07/05,no
PQ197294.1,Limbodessus palmulaoides,Dytiscidae,Adephaga,20684,2024/11/27,no
PQ197302.1,Limbodessus skalei,Dytiscidae,Adephaga,16276,2024/11/27,no
PQ197304.1,Limbodessus sp.,Dytiscidae,Adephaga,16514,2024/11/27,no
PQ197318.1,Limbodessus sp.,Dytiscidae,Adephaga,15712,2024/11/27,no
PQ197320.1,Limbodessus sweetwatersensis,Dytiscidae,Adephaga,17281,2024/11/27,no
PQ197322.1,Limbodessus windarraensis,Dytiscidae,Adephaga,19155,2024/11/27,no
PQ197268.1,Liodessus deflectus,Dytiscidae,Adephaga,20783,2024/11/27,no
PQ139363.1,Liodessus sp.,Dytiscidae,Adephaga,15236,2025/09/20,no
MW465253.1,Lioporeus pilatei,Dytiscidae,Adephaga,17905,2021/02/23,no
NC_057544.1,Lioporeus pilatei,Dytiscidae,Adephaga,17905,2021/09/09,no
KT876902.1,Liopterus haemorrhoidalis,Dytiscidae,Adephaga,16541,2016/06/20,yes
MW465255.1,Mystonectes coelamboides,Dytiscidae,Adephaga,17373,2021/02/23,no
NC_057545.1,Mystonectes coelamboides,Dytiscidae,Adephaga,17373,2021/09/09,no
MW465258.1,Nebrioporus vagrans,Dytiscidae,Adephaga,18504,2021/02/23,no
NC_057546.1,Nebrioporus vagrans,Dytiscidae,Adephaga,18504,2021/09/09,no
MW465259.1,Nectoporus subrotundus,Dytiscidae,Adephaga,17106,2021/02/23,no
NC_057547.1,Nectoporus subrotundus,Dytiscidae,Adephaga,17106,2021/09/09,no
MW465260.1,Neoporus sp. NHM-IR594,Dytiscidae,Adephaga,17059,2021/02/23,no
MW465261.1,Oreodytes davisii,Dytiscidae,Adephaga,16348,2021/02/23,no
NC_057548.1,Oreodytes davisii,Dytiscidae,Adephaga,16348,2021/09/09,no
MW465262.1,Oreodytes scitulus,Dytiscidae,Adephaga,16333,2021/02/23,no
NC_057549.1,Oreodytes scitulus,Dytiscidae,Adephaga,16333,2021/09/09,no
MG912995.1,Paroster macrosturtensis,Dytiscidae,Adephaga,16676,2018/04/22,no
NC_037750.1,Paroster macrosturtensis,Dytiscidae,Adephaga,16676,2018/07/05,no
MG912996.1,Paroster mesosturtensis,Dytiscidae,Adephaga,16663,2018/04/22,no
NC_037751.1,Paroster mesosturtensis,Dytiscidae,Adephaga,16663,2018/07/05,no
MG912997.1,Paroster microsturtensis,Dytiscidae,Adephaga,16504,2018/04/22,no
NC_037752.1,Paroster microsturtensis,Dytiscidae,Adephaga,16504,2018/07/05,no
MW465263.1,Porhydrus obliquesignatus,Dytiscidae,Adephaga,17865,2021/02/23,no
NC_057550.1,Porhydrus obliquesignatus,Dytiscidae,Adephaga,17865,2021/09/09,no
PQ139364.1,Rhantus sp.,Dytiscidae,Adephaga,15540,2025/09/20,no
MW465264.1,Rhithrodytes bimaculatus,Dytiscidae,Adephaga,17524,2021/02/23,no
NC_057551.1,Rhithrodytes bimaculatus,Dytiscidae,Adephaga,17524,2021/09/09,no
MW465267.1,Scarodytes malickyi,Dytiscidae,Adephaga,15309,2021/02/23,no
NC_057552.1,Scarodytes malickyi,Dytiscidae,Adephaga,15309,2021/09/09,no
MW465268.1,Scarodytes savinensis,Dytiscidae,Adephaga,16356,2021/02/23,no
NC_057553.1,Scarodytes savinensis,Dytiscidae,Adephaga,16356,2021/09/09,no
KX087232.1,Adrastus rachifer,Elateridae,Polyphaga,16168,2017/10/13,no
NC_062815.1,Agriotes fuscicollis,Elateridae,Polyphaga,15866,2022/04/27,no
OM161961.1,Agriotes fuscicollis,Elateridae,Polyphaga,15866,2022/03/30,no
NC_069551.1,Agriotes hirayamai,Elateridae,Polyphaga,16156,2023/01/22,no
KT876879.1,Agriotes obscurus,Elateridae,Polyphaga,16264,2016/06/20,yes
OP452713.1,Agriotes sp. GTI-106,Elateridae,Polyphaga,16278,2023/02/13,no
OP452712.1,Agriotes sp. GTI-28,Elateridae,Polyphaga,16178,2023/02/13,no
OP452711.1,Agrypninae sp. GTI-132,Elateridae,Polyphaga,16005,2023/02/13,no
NC_072064.1,Agrypnus binodulus,Elateridae,Polyphaga,16930,2023/03/15,no
OP452714.1,Agrypnus binodulus,Elateridae,Polyphaga,16930,2023/02/13,no
MN370897.1,Agrypnus sp. YD-2019,Elateridae,Polyphaga,16056,2020/03/17,no
KX087237.1,Anostirus castaneus,Elateridae,Polyphaga,16376,2017/10/13,no
KT876881.1,Athous haemorrhoidalis,Elateridae,Polyphaga,16529,2016/06/20,no
MN507534.1,Athousius wudanganus,Elateridae,Polyphaga,16386,2023/12/30,no
NC_085500.1,Athousius wudanganus,Elateridae,Polyphaga,16386,2024/02/01,no
MZ727583.1,Campsosternus auratus,Elateridae,Polyphaga,15943,2021/10/15,no
MT118665.1,Cryptalaus larvatus,Elateridae,Polyphaga,15876,2020/04/04,no
NC_047286.1,Cryptalaus larvatus,Elateridae,Polyphaga,15876,2020/04/26,no
MK524933.1,Cryptalaus yamato,Elateridae,Polyphaga,15882,2020/03/03,no
NC_046689.1,Cryptalaus yamato,Elateridae,Polyphaga,15882,2020/04/10,no
OQ475943.1,Glyphonyx sp.,Elateridae,Polyphaga,16127,2026/02/17,no
KJ922149.1,Hapsodrilus ignifer,Elateridae,Polyphaga,16072,2016/04/20,no
NC_030058.1,Hapsodrilus ignifer,Elateridae,Polyphaga,16072,2016/05/04,no
MG242621.1,Ignelater luminosus,Elateridae,Polyphaga,16079,2018/01/08,yes
KT852377.1,Limonius californicus,Elateridae,Polyphaga,16467,2015/11/18,yes
NC_028541.1,Limonius californicus,Elateridae,Polyphaga,16467,2015/12/03,yes
KX087306.1,Limonius minutus,Elateridae,Polyphaga,16727,2017/10/13,no
MK792747.1,Ludioschema sulcicolle,Elateridae,Polyphaga,15848,2021/01/24,no
NC_053929.1,Ludioschema sulcicolle,Elateridae,Polyphaga,15848,2021/03/26,no
MN306531.1,Ludioschema vittiger,Elateridae,Polyphaga,15842,2020/01/29,no
MK792748.1,Melanotus cribricollis,Elateridae,Polyphaga,15908,2021/01/24,no
NC_053930.1,Melanotus cribricollis,Elateridae,Polyphaga,15908,2021/03/26,no
OQ475941.1,Melanotus cribricollis,Elateridae,Polyphaga,15491,2026/02/17,no
MN507535.1,Melanotus fiumii,Elateridae,Polyphaga,16138,2023/12/30,no
NC_085501.1,Melanotus fiumii,Elateridae,Polyphaga,16138,2024/02/01,no
KT876904.1,Melanotus villosus,Elateridae,Polyphaga,15907,2016/06/20,yes
OQ475942.1,Parasilesis musculus,Elateridae,Polyphaga,15681,2026/02/17,no
NC_061359.1,Pectocera sp.,Elateridae,Polyphaga,15962,2022/03/11,no
OL804015.1,Pectocera sp.,Elateridae,Polyphaga,15962,2022/02/28,no
PQ572766.1,Pyrearinus pumilus,Elateridae,Polyphaga,15891,2025/04/22,no
PQ572767.1,Pyrearinus pumilus,Elateridae,Polyphaga,15891,2025/04/22,no
KJ922150.1,Pyrearinus termitilluminans,Elateridae,Polyphaga,16007,2016/04/20,no
NC_030059.1,Pyrearinus termitilluminans,Elateridae,Polyphaga,16007,2016/05/04,no
EF398270.1,Pyrophorus divergens,Elateridae,Polyphaga,16120,2007/11/07,no
NC_009964.1,Pyrophorus divergens,Elateridae,Polyphaga,16120,2007/11/07,no
MT955357.1,Silesis erberi,Elateridae,Polyphaga,16128,2023/12/30,no
NC_085503.1,Silesis erberi,Elateridae,Polyphaga,16128,2024/02/01,no
NC_065395.1,Sinelater perroti,Elateridae,Polyphaga,16943,2022/08/03,yes
OM772654.1,Sinelater perroti,Elateridae,Polyphaga,16943,2022/07/24,yes
OP613099.1,Sinelater perroti,Elateridae,Polyphaga,15897,2023/04/22,yes
MH065615.1,Sinopyrophorus schimmeli,Elateridae,Polyphaga,15951,2018/11/25,yes
NC_077650.1,Sternocampsus coriaceus,Elateridae,Polyphaga,16086,2023/06/15,no
OP613100.1,Sternocampsus coriaceus,Elateridae,Polyphaga,16086,2023/04/22,no
PQ510303.1,Cuspidevia jaechi,Elmidae,Polyphaga,16309,2024/12/24,no
PV660430.1,Grouvellinus huaxiensis,Elmidae,Polyphaga,16293,2025/06/18,no
PQ510304.1,Grouvellinus longiusculus,Elmidae,Polyphaga,16291,2024/12/24,no
OR414025.1,Hydora sp.,Elmidae,Polyphaga,16278,2023/09/06,no
PQ754205.1,Stenelmis orthotibiata,Elmidae,Polyphaga,15893,2024/12/17,no
PQ510305.1,Stenelmis punctulata,Elmidae,Polyphaga,15480,2024/12/24,no
PP356720.1,Ancylopus pictus asiaticus,Endomychidae,Polyphaga,15587,2024/02/26,no
MT554390.1,Sinocymbachus quadrimaculatus,Endomychidae,Polyphaga,16735,2024/05/01,no
MW732716.1,Lissorhoptrus oryzophilus,Erirhinidae,Polyphaga,18510,2021/04/26,no
MW291531.1,Aulacochilus grouvellei,Erotylidae,Polyphaga,15607,2021/01/10,no
NC_056919.1,Aulacochilus grouvellei,Erotylidae,Polyphaga,15607,2021/08/31,no
MT554397.1,Episcapha flavofasciata,Erotylidae,Polyphaga,16541,2024/05/01,no
NC_067051.1,Episcapha fortunii,Erotylidae,Polyphaga,15716,2022/10/09,no
OP354255.1,Episcapha fortunii,Erotylidae,Polyphaga,15716,2022/09/27,no
MZ014623.1,Episcapha opaca,Erotylidae,Polyphaga,15581,2021/08/10,no
KT696227.1,Erotylidae sp. BMNH 1274392,Erotylidae,Polyphaga,16553,2016/02/29,no
MZ014624.1,Neotriplax arisana,Erotylidae,Polyphaga,16478,2021/08/10,no
MT554391.1,Pachylanguria paivai,Erotylidae,Polyphaga,17028,2024/05/01,no
NC_068069.1,Triplax ainonia,Erotylidae,Polyphaga,17555,2022/11/12,no
OM084946.1,Triplax ainonia,Erotylidae,Polyphaga,17555,2022/10/22,no
MZ014622.1,Tritoma metasobrina,Erotylidae,Polyphaga,16502,2021/08/10,no
KX035155.1,Eucinetus haemorrhoidalis,Eucinetidae,Polyphaga,17954,2017/10/31,no
NC_036278.1,Eucinetus haemorrhoidalis,Eucinetidae,Polyphaga,17954,2017/11/16,no
OP207957.1,Dromaeolus sp. ZM-2022,Eucnemidae,Polyphaga,15846,2023/02/05,no
OK143440.1,Microrhagus sp. ZM-2022,Eucnemidae,Polyphaga,15843,2022/08/03,no
MT554385.1,Eulichas bertiae,Eulichadidae,Polyphaga,15884,2024/05/01,no
BK067253.1,Lethrus apterus,Geotrupidae,Polyphaga,20855,2025/05/07,yes
PX715249.1,Phelotrupes auratus,Geotrupidae,Polyphaga,16689,2026/01/19,no
MT548773.1,Phelotrupes oberthuri,Geotrupidae,Polyphaga,17903,2024/05/01,no
NC_070352.1,Propomacrus bimucronatus,Glaphyridae,Polyphaga,18104,2023/01/25,no
OP391360.1,Propomacrus bimucronatus,Glaphyridae,Polyphaga,18104,2023/01/15,no
NC_070351.1,Propomacrus davidi,Glaphyridae,Polyphaga,18042,2023/01/25,no
OP345857.1,Propomacrus davidi,Glaphyridae,Polyphaga,18042,2023/01/15,no
MN781126.1,Dineutus mellyi,Gyrinidae,Adephaga,16123,2020/11/21,no
NC_054236.1,Dineutus mellyi,Gyrinidae,Adephaga,16123,2021/04/15,no
PV699630.1,Gyrinidae sp.,Gyrinidae,Adephaga,15818,2026/01/20,no
PV699638.1,Gyrinus pullatus,Gyrinidae,Adephaga,16144,2026/01/20,no
FJ859901.1,Macrogyrus oblongus,Gyrinidae,Adephaga,16643,2009/09/11,no
NC_013249.1,Macrogyrus oblongus,Gyrinidae,Adephaga,16643,2009/09/18,no
KT876889.1,Haliplus immaculatus,Haliplidae,Adephaga,21581,2016/06/20,no
KT876890.1,Haliplus lineatocollis,Haliplidae,Adephaga,18593,2016/06/20,no
KX035139.1,Helophorus sp. BMNH 724835,Helophoridae,Polyphaga,15139,2017/10/31,no
NC_072657.1,Helota thoracica,Helotidae,Polyphaga,16112,2023/03/28,no
OP964453.1,Helota thoracica,Helotidae,Polyphaga,16112,2023/03/11,no
NC_072658.1,Helota yehi,Helotidae,Polyphaga,16401,2023/03/28,no
OP964454.1,Helota yehi,Helotidae,Polyphaga,16401,2023/03/11,no
KX087297.1,Heterocerus parallelus,Heteroceridae,Polyphaga,15845,2017/10/13,no
GU176344.1,Euspilotus scissus,Histeridae,Polyphaga,14763,2010/07/12,no
NC_018353.1,Euspilotus scissus,Histeridae,Polyphaga,14763,2012/08/10,no
KT696217.1,Histeridae sp. BMNH 1274329,Histeridae,Polyphaga,15796,2016/02/29,no
KT696264.1,Histeridae sp. BMNH 1274739,Histeridae,Polyphaga,15907,2016/02/29,no
KT696266.1,Histeridae sp. BMNH 1274743,Histeridae,Polyphaga,15824,2016/02/29,no
KT780657.1,Margarinotus merdarius,Histeridae,Polyphaga,16169,2015/11/24,no
NC_028603.1,Margarinotus merdarius,Histeridae,Polyphaga,16169,2015/12/03,no
MT822979.1,Gymnochthebius lividus,Hydraenidae,Polyphaga,17647,2020/09/09,no
NC_052889.1,Gymnochthebius lividus,Hydraenidae,Polyphaga,17647,2021/02/09,no
KX035131.1,Meropathus sp. BMNH 675618,Hydraenidae,Polyphaga,14891,2017/10/31,no
MT822981.1,Ochthebius atriceps,Hydraenidae,Polyphaga,16182,2020/09/09,no
NC_052891.1,Ochthebius atriceps,Hydraenidae,Polyphaga,16182,2021/02/09,no
MT822982.1,Ochthebius capicola,Hydraenidae,Polyphaga,16114,2020/09/09,no
NC_052892.1,Ochthebius capicola,Hydraenidae,Polyphaga,16114,2021/02/09,no
MT822983.1,Ochthebius deletus,Hydraenidae,Polyphaga,16057,2020/09/09,no
NC_052893.1,Ochthebius deletus,Hydraenidae,Polyphaga,16057,2021/02/09,no
MT822986.1,Ochthebius glaber,Hydraenidae,Polyphaga,16151,2020/09/09,no
NC_052894.1,Ochthebius glaber,Hydraenidae,Polyphaga,16151,2021/02/09,no
MT822987.1,Ochthebius griotes,Hydraenidae,Polyphaga,16126,2020/09/09,no
NC_052895.1,Ochthebius griotes,Hydraenidae,Polyphaga,16126,2021/02/09,no
MT822988.1,Ochthebius hasegawai,Hydraenidae,Polyphaga,16085,2020/09/09,no
NC_052896.1,Ochthebius hasegawai,Hydraenidae,Polyphaga,16085,2021/02/09,no
MT822989.1,Ochthebius himalayae,Hydraenidae,Polyphaga,16069,2020/09/09,no
NC_052897.1,Ochthebius himalayae,Hydraenidae,Polyphaga,16069,2021/02/09,no
NC_085184.1,Ochthebius lejolisii,Hydraenidae,Polyphaga,16110,2024/02/01,no
OR760221.1,Ochthebius lejolisii,Hydraenidae,Polyphaga,16110,2023/12/05,no
MT822990.1,Ochthebius lividipennis,Hydraenidae,Polyphaga,16054,2020/09/09,no
NC_052898.1,Ochthebius lividipennis,Hydraenidae,Polyphaga,16054,2021/02/09,no
MT822991.1,Ochthebius magnannulatus,Hydraenidae,Polyphaga,16148,2020/09/09,no
NC_052899.1,Ochthebius magnannulatus,Hydraenidae,Polyphaga,16148,2021/02/09,no
MT822993.1,Ochthebius mediterraneus,Hydraenidae,Polyphaga,16148,2020/09/09,no
NC_052900.1,Ochthebius mediterraneus,Hydraenidae,Polyphaga,16148,2021/02/09,no
MT822980.1,Ochthebius minoicus,Hydraenidae,Polyphaga,16252,2020/09/09,no
NC_052890.1,Ochthebius minoicus,Hydraenidae,Polyphaga,16252,2021/02/09,no
MT822995.1,Ochthebius nobilis,Hydraenidae,Polyphaga,16074,2020/09/09,no
NC_052901.1,Ochthebius nobilis,Hydraenidae,Polyphaga,16074,2021/02/09,no
MT822968.1,Ochthebius plesiotypus,Hydraenidae,Polyphaga,16740,2020/09/09,no
NC_052885.1,Ochthebius plesiotypus,Hydraenidae,Polyphaga,16740,2021/02/09,no
MT822972.1,Ochthebius puncticollis,Hydraenidae,Polyphaga,17027,2020/09/09,no
NC_052886.1,Ochthebius puncticollis,Hydraenidae,Polyphaga,17027,2021/02/09,no
MT822975.1,Ochthebius quadricollis,Hydraenidae,Polyphaga,16510,2020/09/09,no
NC_052888.1,Ochthebius quadricollis,Hydraenidae,Polyphaga,16510,2021/02/09,no
OR760222.1,Ochthebius quadricollis,Hydraenidae,Polyphaga,16153,2023/12/05,no
MT822973.1,Ochthebius remotus,Hydraenidae,Polyphaga,16083,2020/09/09,no
NC_052887.1,Ochthebius remotus,Hydraenidae,Polyphaga,16083,2021/02/09,no
MT823001.1,Ochthebius salinarius,Hydraenidae,Polyphaga,16280,2020/09/09,no
NC_052902.1,Ochthebius salinarius,Hydraenidae,Polyphaga,16280,2021/02/09,no
MT823002.1,Ochthebius scopuli,Hydraenidae,Polyphaga,16181,2020/09/09,no
NC_052903.1,Ochthebius scopuli,Hydraenidae,Polyphaga,16181,2021/02/09,no
MT823003.1,Ochthebius sculptoides,Hydraenidae,Polyphaga,16541,2020/09/09,no
NC_052904.1,Ochthebius sculptoides,Hydraenidae,Polyphaga,16541,2021/02/09,no
MT822970.1,Ochthebius sp. IBE<ESP> AN104,Hydraenidae,Polyphaga,16326,2020/09/09,no
MT822992.1,Ochthebius sp. IBE<ESP> AN164,Hydraenidae,Polyphaga,16104,2020/09/09,no
MT822985.1,Ochthebius sp. IBE<ESP> AN76,Hydraenidae,Polyphaga,16114,2020/09/09,no
MT822996.1,Ochthebius sp. IBE<ESP> AN77,Hydraenidae,Polyphaga,16477,2020/09/09,no
MT822976.1,Ochthebius sp. IBE<ESP> AV177,Hydraenidae,Polyphaga,16021,2020/09/09,no
MT822997.1,Ochthebius sp. IBE<ESP> RA617,Hydraenidae,Polyphaga,16306,2020/09/09,no
NC_085185.1,Ochthebius subinteger,Hydraenidae,Polyphaga,16149,2024/02/01,no
OR760223.1,Ochthebius subinteger,Hydraenidae,Polyphaga,16149,2023/12/05,no
MT823004.1,Ochthebius uniformis,Hydraenidae,Polyphaga,16212,2020/09/09,no
NC_052905.1,Ochthebius uniformis,Hydraenidae,Polyphaga,16212,2021/02/09,no
MT823005.1,Ochthebius viridis,Hydraenidae,Polyphaga,16002,2020/09/09,no
NC_052906.1,Ochthebius viridis,Hydraenidae,Polyphaga,16002,2021/02/09,no
KX035140.1,Hydrochus carinatus,Hydrochidae,Polyphaga,16825,2017/10/31,no
NC_036270.1,Hydrochus carinatus,Hydrochidae,Polyphaga,16825,2017/11/16,no
KT876892.1,Hydrochus sp. BMNH1425167,Hydrochidae,Polyphaga,18299,2016/06/20,no
KT876883.1,Berosus affinis,Hydrophilidae,Polyphaga,16890,2016/06/20,no
KX087255.1,Cercyon borealis,Hydrophilidae,Polyphaga,17035,2017/10/13,no
PX925626.1,Cercyon unipunctatus,Hydrophilidae,Polyphaga,16807,2026/02/01,no
PX925627.1,Cercyon unipunctatus,Hydrophilidae,Polyphaga,16908,2026/02/01,no
PX925628.1,Cercyon unipunctatus,Hydrophilidae,Polyphaga,16934,2026/02/01,no
PX925629.1,Cercyon unipunctatus,Hydrophilidae,Polyphaga,16938,2026/02/01,no
KT876891.1,Helochares sp. BMNH1425100,Hydrophilidae,Polyphaga,17267,2016/06/20,no
KT696213.1,Hydrophilidae sp. BMNH 1274306,Hydrophilidae,Polyphaga,16766,2016/02/29,no
PV699639.1,Hydrophilus acuminatus,Hydrophilidae,Polyphaga,17995,2026/01/20,no
LC875518.1,Hydrophilus bilineatus,Hydrophilidae,Polyphaga,17289,2025/05/23,no
KT780677.1,Sphaeridium bipustulatum,Hydrophilidae,Polyphaga,16576,2015/11/24,yes
NC_028612.1,Sphaeridium bipustulatum,Hydrophilidae,Polyphaga,16576,2015/12/03,yes
MT874490.1,Sphaeridium lunatum,Hydrophilidae,Polyphaga,16686,2022/04/30,no
NC_063613.1,Sphaeridium lunatum,Hydrophilidae,Polyphaga,16686,2022/06/03,no
NC_072667.1,Sternolophus rufipes,Hydrophilidae,Polyphaga,16232,2023/03/28,no
OQ029525.1,Sternolophus rufipes,Hydrophilidae,Polyphaga,16232,2023/03/12,no
GU176339.1,Tropisternus sp. BYU-CO166,Hydrophilidae,Polyphaga,16372,2010/07/12,no
NC_018349.1,Tropisternus sp. BYU-CO166,Hydrophilidae,Polyphaga,16372,2012/08/10,no
NC_012144.1,Hydroscapha granulum,Hydroscaphidae,Myxophaga,15975,2009/03/03,no
KT876898.1,Hygrobia hermanni,Hygrobiidae,Adephaga,16336,2016/06/20,no
NC_030593.1,Hygrobia hermanni,Hygrobiidae,Adephaga,16336,2016/07/12,no
KT825140.1,Iberobaenia minuta,Iberobaeniidae,Polyphaga,16931,2016/05/25,no
KX035220.1,Bostrichoidea sp. KM-2015,Incertae_sedis_Bostrichoidea,Polyphaga,15462,2017/10/31,no
KX035223.1,Curculionoidea sp. 2 KM-2015,Incertae_sedis_Curculionoidea,Polyphaga,19137,2017/10/31,no
