accession,organism,taxid,family,suborder,assembly_level,contig_N50,scaffold_N50,total_length_mb,submission_date,submitter,in_scarab_catalog,tob_score,tob_recommendation
GCA_029955295.1,Cylas formicarius,197179,Brentidae,Polyphaga,Scaffold,136754,136754,342.26,2023-05-08,USDA-ARS Ag100Pest,no,C,include
GCA_029229525.1,Diorhabda carinata,1163344,Chrysomelidae,Polyphaga,Scaffold,132569,132569,130.15,2023-03-17,USDA Ag100Pest,no,C,include
GCA_964656875.1,Grypus equiseti,1553333,Erirhinidae,Polyphaga,Scaffold,129001,47448789,746.96,2025-01-05,WELLCOME SANGER INSTITUTE,no,C,include
GCA_977013195.1,Sphaeridium bipustulatum,290649,Hydrophilidae,Polyphaga,Scaffold,127221,17779139,280.56,2025-11-11,WELLCOME SANGER INSTITUTE,no,C,include
GCA_022605985.2,Anthonomus grandis,2921223,Curculionidae,Polyphaga,Scaffold,120506,120554,371.8,2022-07-29,United States Department of Agriculture,no,C,include
GCA_022605985.1,Anthonomus grandis,7044,Curculionidae,Polyphaga,Scaffold,120506,120554,371.8,2022-03-17,United States Department of Agriculture,no,C,include
GCA_029207795.1,Tribolium confusum,7071,Tenebrionidae,Polyphaga,Scaffold,110158,111809,202.53,2023-03-14,United States Department of Agriculture,no,C,include
GCA_902655005.1,Marronus borbonicus,2654888,Scarabaeidae,Polyphaga,Scaffold,107748,16829227,406.94,2020-03-25,MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY,no,C,include
GCA_965645195.1,Crepidodera aurata,200911,Chrysomelidae,Polyphaga,Scaffold,101419,101419,955.0,2025-07-28,WELLCOME SANGER INSTITUTE,no,C,include
GCA_000648695.2,Onthophagus taurus,166361,Scarabaeidae,Polyphaga,Scaffold,101202,337157,267.08,2017-11-02,The i5k Initiative,no,C,include
GCA_044115295.1,Agriotes ferrugineipennis,2083513,Elateridae,Polyphaga,Contig,20637005,20637005,1230.57,2024-10-30,Canada's national platform for genome sequencing and analysis,no,D,conditional
GCA_044115325.1,Agriotes sputator,346689,Elateridae,Polyphaga,Contig,16345600,16345600,1922.87,2024-10-30,Canada's national platform for genome sequencing and analysis,no,D,conditional
GCA_036711695.1,Zophobas morio,2755281,Tenebrionidae,Polyphaga,Contig,15905963,15905963,592.43,2024-02-20,CSIRO Applied Genomics Initiative,no,D,conditional
GCA_041228545.1,Agriotes mancus,1132040,Elateridae,Polyphaga,Contig,15208965,15208965,2106.53,2024-08-13,Canada's national platform for genome sequencing and analysis,no,D,conditional
GCA_041228495.1,Agriotes mancus,1132040,Elateridae,Polyphaga,Contig,15085314,15085314,2454.98,2024-08-13,Canada's national platform for genome sequencing and analysis,no,D,conditional
GCA_965279765.1,Tribolium madens,41895,Tenebrionidae,Polyphaga,Contig,13786189,13786189,362.94,2026-02-28,rudjer boskovic institute,no,D,conditional
GCA_044115255.1,Agriotes ferrugineipennis,2083513,Elateridae,Polyphaga,Contig,13177664,13177664,1267.86,2024-10-30,Canada's national platform for genome sequencing and analysis,no,D,conditional
GCA_907165185.1,Coccinella septempunctata,41139,Coccinellidae,Polyphaga,Contig,12431197,12431197,389.07,2021-05-16,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_048182545.1,Apis cerana,7461,Apidae,Apocrita,Contig,12191520,12191520,226.91,2025-02-27,Institute of Zoology Chinese Academy of Sciences,no,D,conditional
GCA_044115275.1,Agriotes sputator,346689,Elateridae,Polyphaga,Contig,11899110,11899110,1056.53,2024-10-30,Canada's national platform for genome sequencing and analysis,no,D,conditional
GCA_013387265.1,Cryptolaemus montrouzieri,559131,Coccinellidae,Polyphaga,Contig,10375940,10375940,988.11,2020-07-02,Sun Yat-sen University,no,D,conditional
GCA_056790185.1,Chelymorpha alternans,111230,Chrysomelidae,Polyphaga,Contig,9721795,9721795,1938.36,2026-04-20,Max Planck Institute for Biology,no,D,conditional
GCA_951848785.1,Callosobruchus maculatus,64391,Chrysomelidae,Polyphaga,Contig,9445077,9445077,1246.71,2023-09-04,Uppsala University,no,D,conditional
GCA_914767675.1,Harmonia axyridis,115357,Coccinellidae,Polyphaga,Contig,8504002,8504002,407.54,2021-09-19,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_014905495.1,Trypoxylus dichotomus,273928,Scarabaeidae,Polyphaga,Contig,7929129,7929129,739.41,2020-10-21,Nihon BioData Corporation,no,D,conditional
GCA_040167675.1,Xenos peckii,50526,Xenidae,Stylopidia,Contig,7378620,7378620,72.12,2024-06-14,University of Rochester,no,D,conditional
GCA_016097725.1,Ips typographus,55986,Curculionidae,Polyphaga,Contig,6654004,6654004,236.82,2020-12-16,Czech University of Life Sciences,no,D,conditional
GCA_963675865.1,Leptura quadrifasciata,1143061,Cerambycidae,Polyphaga,Contig,6481551,6481551,1403.37,2023-12-11,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_976923555.1,Propylea quattuordecimpunctata,558720,Coccinellidae,Polyphaga,Contig,5346787,5346787,525.42,2025-11-23,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_951802185.1,Adalia decempunctata,115343,Coccinellidae,Polyphaga,Contig,4344916,4344916,463.83,2023-06-03,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_047676095.1,Asbolus verrucosus,1661398,Tenebrionidae,Polyphaga,Contig,4182277,4182277,215.01,2025-02-11,Dean Rider,no,D,conditional
GCA_947359435.1,Lagria hirta,296003,Tenebrionidae,Polyphaga,Contig,2923370,2923370,304.31,2022-11-30,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_963924625.1,Pycnomerus fuliginosus,878397,Zopheridae,Polyphaga,Contig,2891086,2891086,317.01,2024-01-30,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_963082675.1,Philonthus spinipes,878362,Staphylinidae,Polyphaga,Contig,2385291,2385291,621.35,2023-08-08,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_963583915.1,Diaperis boleti,433215,Tenebrionidae,Polyphaga,Contig,2300784,2300784,421.83,2023-11-06,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_963978855.1,Aleochara curtula,135881,Staphylinidae,Polyphaga,Contig,2214126,2214126,133.39,2024-03-30,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_041228435.1,Larinus minutus,1342029,Curculionidae,Polyphaga,Contig,2177891,2177891,1319.96,2024-08-13,Canada's national platform for genome sequencing and analysis,no,D,conditional
GCA_977970265.1,Tytthaspis sedecimpunctata,347477,Coccinellidae,Polyphaga,Contig,2103888,2103888,302.16,2026-03-01,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_041228525.1,Larinus minutus,1342029,Curculionidae,Polyphaga,Contig,2091210,2091210,1418.94,2024-08-13,Canada's national platform for genome sequencing and analysis,no,D,conditional
GCA_963921965.1,Agrilus biguttatus,324823,Buprestidae,Polyphaga,Contig,1923156,1923156,355.9,2024-01-15,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_040114445.1,Euwallacea fornicatus,995702,Curculionidae,Polyphaga,Contig,1845244,1845244,227.54,2024-06-10,Stellenbosch University,no,D,conditional
GCA_026250545.1,Diorhabda carinulata,1163345,Chrysomelidae,Polyphaga,Contig,1814905,1814905,367.49,2022-11-21,USDA Ag100Pest,no,D,conditional
GCA_911728465.1,Apoderus coryli,201766,Attelabidae,Polyphaga,Contig,1748940,1748940,392.67,2021-08-01,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_040955265.1,Agriotes obscurus,350085,Elateridae,Polyphaga,Contig,1554508,1554508,2087.1,2024-07-30,Canada's national platform for genome sequencing and analysis,no,D,conditional
GCA_963978485.1,Galerucella nymphaeae,131645,Chrysomelidae,Polyphaga,Contig,1438123,1438123,282.45,2024-03-11,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_040955315.1,Agriotes obscurus,350085,Elateridae,Polyphaga,Contig,1433701,1433701,2492.41,2024-08-01,Canada's national platform for genome sequencing and analysis,no,D,conditional
GCA_959613335.1,Geotrupes spiniger,295525,Geotrupidae,Polyphaga,Contig,1371697,1371697,484.37,2023-07-25,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_958510835.1,Cantharis nigra,1553174,Cantharidae,Polyphaga,Contig,1356651,1356651,363.48,2023-07-23,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_963921945.1,Oxystoma pomonae,1588336,Apionidae,Polyphaga,Contig,1263678,1263678,1132.23,2024-01-15,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_040114495.1,Euwallacea fornicatus,995702,Curculionidae,Polyphaga,Contig,1252622,1252622,217.64,2024-06-10,Stellenbosch University,no,D,conditional
GCA_947310685.1,Leptodirus hochenwartii,2996356,Leiodidae,Polyphaga,Contig,1232347,1232347,434.1,2022-11-28,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_958510795.1,Myrrha octodecimguttata,703265,Coccinellidae,Polyphaga,Contig,1151152,1151152,613.01,2023-07-23,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_029963805.1,Aromia moschata,1265417,Cerambycidae,Polyphaga,Contig,1105269,1105269,687.74,2023-05-10,Max Planck Institute for Chemical Ecology,no,D,conditional
GCA_963585885.1,Plagiodera versicolora,154017,Chrysomelidae,Polyphaga,Contig,1102757,1102757,234.21,2023-12-11,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_949152385.1,Cantharis flavilabris,877752,Cantharidae,Polyphaga,Contig,1075827,1075827,346.27,2023-04-18,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_982552535.1,Cantharis pellucida,877753,Cantharidae,Polyphaga,Contig,1024079,1024079,482.54,2026-04-28,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_051313465.1,Labidomera clivicollis,131652,Chrysomelidae,Polyphaga,Contig,991131,991131,978.75,2025-07-14,Canada's national platform for genome sequencing and analysis,no,D,conditional
GCA_963992275.1,Barypeithes pellucidus,397350,Curculionidae,Polyphaga,Contig,976313,976313,630.71,2024-03-30,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_963576645.1,Gastrophysa polygoni,878018,Chrysomelidae,Polyphaga,Contig,901162,901162,380.4,2023-11-04,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_949316485.1,Bruchidius siliquastri,1649775,Chrysomelidae,Polyphaga,Contig,871284,871284,258.82,2023-05-13,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_051313455.1,Labidomera clivicollis,131652,Chrysomelidae,Polyphaga,Contig,856924,856924,599.62,2025-07-14,Canada's national platform for genome sequencing and analysis,no,D,conditional
GCA_024364635.1,Aethina tumida,116153,Nitidulidae,Polyphaga,Contig,840799,840799,207.55,2022-07-21,USDA Ag100Pest,no,D,conditional
GCA_963170035.1,Cantharis lateralis,877886,Cantharidae,Polyphaga,Contig,831000,831000,323.24,2023-08-23,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_944039265.1,Nebria salina,878211,Carabidae,Adephaga,Contig,809889,809889,219.58,2022-06-20,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_944317955.1,Callosobruchus chinensis,146774,Chrysomelidae,Polyphaga,Contig,800721,800721,1402.44,2023-05-14,Evolutionary Biology Centre,no,D,conditional
GCA_933228535.1,Acanthoscelides obtectus,200917,Chrysomelidae,Polyphaga,Contig,791033,791033,2206.66,2023-02-02,Evolutionary Biology Centre,no,D,conditional
GCA_935421255.1,Melolontha melolontha,7061,Scarabaeidae,Polyphaga,Contig,787599,787599,1504.82,2022-04-17,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_949128095.1,Cetonia aurata,290679,Scarabaeidae,Polyphaga,Contig,765071,765071,407.31,2023-04-18,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_965178005.1,Ceutorhynchus obstrictus,307131,Curculionidae,Polyphaga,Contig,757707,757707,577.58,2025-03-05,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_947534335.1,Agonum fuliginosum,1553040,Carabidae,Adephaga,Contig,748655,748655,626.01,2022-12-18,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_963082985.1,Hemicrepidius hirtus,1132043,Elateridae,Polyphaga,Contig,734177,734177,327.91,2023-08-08,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_950111595.1,Malthinus flaveolus,195224,Cantharidae,Polyphaga,Contig,720151,720151,233.62,2023-05-16,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_040955085.1,Diabrotica undecimpunctata,50387,Chrysomelidae,Polyphaga,Contig,670861,670861,1284.87,2024-07-30,USDA-ARS Ag100Pest,no,D,conditional
GCA_946251935.1,Cryptocephalus moraei,204949,Chrysomelidae,Polyphaga,Contig,669611,669611,432.23,2022-09-21,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_965112795.1,Dalopius marginatus,1553258,Elateridae,Polyphaga,Contig,659420,659420,686.19,2025-01-25,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_935413225.1,Polydrusus cervinus,202137,Curculionidae,Polyphaga,Contig,655570,655570,681.55,2022-04-17,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_943138245.1,Ophonus ardosiacus,247415,Carabidae,Adephaga,Contig,650894,650894,884.35,2022-06-13,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_958501965.1,Crioceris asparagi,131627,Chrysomelidae,Polyphaga,Contig,595382,595382,437.54,2023-07-23,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_963457645.1,Nicrophorus investigator,414950,Silphidae,Polyphaga,Contig,587776,587776,195.68,2023-09-21,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_958501925.1,Chrysolina americana,75506,Chrysomelidae,Polyphaga,Contig,568128,568128,866.37,2023-07-23,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_951805255.1,Schizotus pectinicornis,351686,Pyrochroidae,Polyphaga,Contig,563495,563495,173.28,2023-06-04,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_905340395.1,Rhagonycha fulva,41101,Cantharidae,Polyphaga,Contig,549097,549097,363.53,2021-03-26,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_947389945.1,Agrilus cyanescens,1586972,Buprestidae,Polyphaga,Contig,540517,540517,260.94,2022-12-15,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_963966065.2,Xestobium rufovillosum,879067,Ptinidae,Polyphaga,Contig,539148,539148,439.98,2024-06-27,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_963965955.1,Aphidecta obliterata,1501862,Coccinellidae,Polyphaga,Contig,530418,530418,292.9,2024-02-13,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_963942465.1,Lordithon lunulatus,347394,Staphylinidae,Polyphaga,Contig,495246,495246,606.29,2024-02-10,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_949789865.1,Salpingus planirostris,577144,Salpingidae,Polyphaga,Contig,485600,485600,126.14,2023-05-14,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_958336375.1,Ctenicera cuprea,1132042,Elateridae,Polyphaga,Contig,462208,462208,596.22,2023-07-17,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_963971105.1,Stenus bimaculatus,1202164,Staphylinidae,Polyphaga,Contig,403735,403735,412.7,2024-03-06,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_031893035.1,Dermolepida albohirtum,1980614,Scarabaeidae,Polyphaga,Contig,365707,365707,886.22,2023-09-25,CSIRO Applied Genomics Initiative,no,D,conditional
GCA_040955365.1,Agriotes lineatus,292458,Elateridae,Polyphaga,Contig,362001,362001,2256.78,2024-08-01,Canada's national platform for genome sequencing and analysis,no,D,conditional
GCA_950106765.2,Agelastica alni,131577,Chrysomelidae,Polyphaga,Contig,355703,355703,589.99,2024-06-04,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_950106765.1,Agelastica alni,131577,Chrysomelidae,Polyphaga,Contig,355703,355703,589.99,2023-05-16,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_050242925.1,Anthonomus rubi,201759,Curculionidae,Polyphaga,Contig,346941,346941,385.4,2025-05-07,Canada's national platform for genome sequencing and analysis,no,D,conditional
GCA_965213395.1,Rhagonycha lignosa,195289,Cantharidae,Polyphaga,Contig,344917,344917,542.73,2025-03-20,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_050242875.1,Anthonomus rubi,201759,Curculionidae,Polyphaga,Contig,343352,343352,280.42,2025-05-07,Canada's national platform for genome sequencing and analysis,no,D,conditional
GCA_046128455.1,Trigonoscuta pilosa,2919430,Curculionidae,Polyphaga,Contig,326844,326844,1951.36,2024-12-17,"University of California, Santa Cruz",no,D,conditional
GCA_933228875.1,Leistus spinibarbis,878056,Carabidae,Adephaga,Contig,321871,321871,203.76,2022-03-23,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_040955275.1,Agriotes lineatus,292458,Elateridae,Polyphaga,Contig,306820,306820,845.06,2024-07-30,Canada's national platform for genome sequencing and analysis,no,D,conditional
GCA_947563735.1,Lochmaea crataegi,1143063,Chrysomelidae,Polyphaga,Contig,303436,303436,736.12,2022-12-18,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_001937115.1,Aethina tumida,116153,Nitidulidae,Polyphaga,Contig,298879,298879,234.34,2017-01-05,Small Hive Beetle Consortium,no,D,conditional
GCA_963924615.1,Pogonocherus hispidulus,1143099,Cerambycidae,Polyphaga,Contig,296972,296972,630.82,2024-01-30,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_905333035.1,Pyrochroa serraticornis,346838,Pyrochroidae,Polyphaga,Contig,288810,288810,226.8,2021-03-26,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_958510815.1,Rhagonycha lutea,1553715,Cantharidae,Polyphaga,Contig,274740,274740,389.55,2023-07-23,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_910593855.1,Ocypus olens,662956,Staphylinidae,Polyphaga,Contig,273013,273013,1026.2,2021-07-08,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_949748395.1,Platypus cylindrus,298138,Curculionidae,Polyphaga,Contig,271727,271727,127.33,2023-05-13,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_949128105.1,Anaspis maculata,295995,Scraptiidae,Polyphaga,Contig,270564,270564,722.94,2023-04-18,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_030157255.1,Cynaeus angustus,1553252,Tenebrionidae,Polyphaga,Contig,265060,265060,90.82,2023-06-02,United States Department of Agriculture,no,D,conditional
GCA_936443135.2,Rutpela maculata,878968,Cerambycidae,Polyphaga,Contig,247200,247200,1684.64,2022-10-09,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_947858975.1,Callosobruchus analis,380381,Chrysomelidae,Polyphaga,Contig,240251,240251,1918.3,2023-06-03,Evolutionary Biology Centre,no,D,conditional
GCA_958502085.1,Orchestes rusci,878341,Curculionidae,Polyphaga,Contig,217958,217958,589.28,2023-07-23,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_965283235.1,Metoecus paradoxus,433052,Ripiphoridae,Polyphaga,Contig,217038,217038,97.59,2025-05-18,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_900659725.1,Callosobruchus maculatus,64391,Chrysomelidae,Polyphaga,Contig,212245,212245,1007.82,2019-11-19,Evolutionary Biology Centre,no,D,conditional
GCA_044115395.1,Agriotes pubescens,1845008,Elateridae,Polyphaga,Contig,206332,206332,2130.98,2024-10-30,Canada's national platform for genome sequencing and analysis,no,D,conditional
GCA_963920815.1,Polydrusus tereticollis,1342093,Curculionidae,Polyphaga,Contig,205641,205641,1155.28,2023-12-26,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_902651945.1,Ophraella communa,38162,Chrysomelidae,Polyphaga,Contig,195463,195463,774.41,2020-06-11,SIB,no,D,conditional
GCA_044115355.1,Agriotes pubescens,1845008,Elateridae,Polyphaga,Contig,187334,187334,886.91,2024-10-30,Canada's national platform for genome sequencing and analysis,no,D,conditional
GCA_958336325.1,Dorcus parallelipipedus,41107,Lucanidae,Polyphaga,Contig,179977,179977,374.61,2023-07-15,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_958510805.1,Endomychus coccineus,295833,Endomychidae,Polyphaga,Contig,163229,163229,725.37,2023-07-23,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_963700325.1,Hololepta plana,290657,Histeridae,Polyphaga,Contig,155337,155337,102.31,2023-12-13,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_963700325.2,Hololepta plana,290657,Histeridae,Polyphaga,Contig,153025,153025,99.68,2025-11-24,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_947652985.1,Elmis aenea,186982,Elmidae,Polyphaga,Contig,151878,151878,469.2,2022-12-22,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_963942455.1,Pediacus dermestoides,878348,Cucujidae,Polyphaga,Contig,146810,146810,212.65,2024-02-10,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_951812425.1,Taphrorychus bicolor,105251,Curculionidae,Polyphaga,Contig,122186,122186,454.27,2023-07-16,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_030157245.1,Latheticus oryzae,466960,Tenebrionidae,Polyphaga,Contig,109128,109128,71.16,2023-06-02,USDA Ag100Pest,no,D,conditional
GCA_031307295.1,Tribolium castaneum,7070,Tenebrionidae,Polyphaga,Contig,103976,103976,81.66,2023-09-08,USDA-ARS Ag100Pest,no,D,conditional
GCA_964197635.1,Abax parallelepipedus,102642,Carabidae,Adephaga,Scaffold,99981,100215,511.22,2024-07-03,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_978019945.1,Taeniapion urticarium,202217,Apionidae,Polyphaga,Scaffold,94404,44747679,759.63,2026-02-25,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_965663595.1,Cryptocephalus pusillus,877924,Chrysomelidae,Polyphaga,Scaffold,90346,90416,526.71,2025-08-10,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_026230125.1,Diorhabda elongata,217247,Chrysomelidae,Polyphaga,Scaffold,90299,90299,232.7,2022-11-18,USDA Ag100Pest,no,D,conditional
GCA_965643575.1,Eulagius filicornis,1586587,Mycetophagidae,Polyphaga,Scaffold,90002,4637385,129.04,2025-07-19,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_964235275.1,Actenicerus siaelandicus,869165,Elateridae,Polyphaga,Scaffold,89605,89605,1430.37,2024-08-30,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_964006135.1,Tillus elongatus,295696,Cleridae,Polyphaga,Scaffold,89543,89546,1769.39,2024-03-30,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_003402655.2,Harmonia axyridis,115357,Coccinellidae,Polyphaga,Scaffold,86455,1106177,434.97,2023-11-09,Nagoya University,no,D,conditional
GCA_977809175.1,Carabus nemoralis,49290,Carabidae,Adephaga,Contig,83246,83246,229.79,2026-02-04,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_029619255.1,Dynastes hyllus,1767015,Scarabaeidae,Polyphaga,Scaffold,81824,51928423,622.82,2023-04-07,Academia Sinica,no,D,conditional
GCA_000390285.2,Anoplophora glabripennis,217634,Cerambycidae,Polyphaga,Scaffold,80490,678234,706.97,2017-12-13,The i5k Initiative,no,D,conditional
GCA_015345945.1,Tribolium madens,41895,Tenebrionidae,Polyphaga,Scaffold,76672,15175020,149.38,2020-11-10,Kansas State University,no,D,conditional
GCA_964656365.1,Colydium elongatum,295817,Zopheridae,Polyphaga,Scaffold,76624,26196487,382.01,2025-01-05,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_963920675.1,Pseudeuparius sepicola,1586585,Anthribidae,Polyphaga,Contig,69855,69855,327.09,2023-12-26,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_003402655.1,Harmonia axyridis,115357,Coccinellidae,Polyphaga,Scaffold,69098,1616388,422.83,2018-08-17,Nagoya University,no,D,conditional
GCA_958298995.1,Chrysolina haemoptera,75519,Chrysomelidae,Polyphaga,Contig,67971,67971,453.27,2023-07-07,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_001412225.1,Nicrophorus vespilloides,110193,Silphidae,Polyphaga,Scaffold,67958,122407,195.27,2015-10-23,University of Georgia,no,D,conditional
GCA_029298695.1,Gnatocerus cornutus,1553328,Tenebrionidae,Polyphaga,Contig,67614,67614,148.42,2023-03-20,USDA Ag100Pest,no,D,conditional
GCA_958510775.1,Brachypterus glaber,442081,Kateretidae,Polyphaga,Scaffold,67217,67217,593.1,2023-07-23,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_020975425.1,Diorhabda carinulata,1163345,Chrysomelidae,Polyphaga,Scaffold,62896,805047,315.35,2021-11-24,University of Idaho,no,D,conditional
GCA_003426905.1,Ctenocephalides felis,7515,Pulicidae,Pulicomorpha,Scaffold,61000,71713785,775.45,2018-08-24,West Virginia University,no,D,conditional
GCA_980251295.1,Podagrica fuscicornis,1425595,Chrysomelidae,Polyphaga,Contig,59598,59598,1915.28,2026-02-28,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_966185145.1,Rhyzobius forestieri,2849648,Coccinellidae,Polyphaga,Contig,52947,52947,745.96,2025-08-22,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_964058915.1,Tetropium fuscum,256650,Cerambycidae,Polyphaga,Contig,48991,48991,704.8,2024-05-22,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_000500325.2,Leptinotarsa decemlineata,7539,Chrysomelidae,Polyphaga,Scaffold,46596,139046,641.99,2017-11-02,The i5k Initiative,no,D,conditional
GCA_910589515.1,Vespa crabro,7445,Vespidae,Apocrita,Scaffold,45968,45968,187.12,2021-07-08,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_001442555.1,Apis cerana,7461,Apidae,Apocrita,Scaffold,43751,1421626,228.33,2015-11-12,Seoul National University,no,D,conditional
GCA_963921905.1,Galeruca laticollis,2017130,Chrysomelidae,Polyphaga,Scaffold,42924,42924,808.19,2024-01-15,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_944452915.1,Chrysolina oricalcia,1587174,Chrysomelidae,Polyphaga,Contig,39892,39892,301.75,2022-07-06,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_046129265.1,Calligrapha alni,359191,Chrysomelidae,Polyphaga,Contig,39435,39435,417.69,2024-12-17,Canada's national platform for genome sequencing and analysis,no,D,conditional
GCA_944452915.2,Chrysolina oricalcia,1587174,Chrysomelidae,Polyphaga,Scaffold,39201,39201,328.97,2022-09-29,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_050242975.1,Plateumaris germari,462189,Chrysomelidae,Polyphaga,Contig,37986,37986,162.53,2025-05-07,Canada's national platform for genome sequencing and analysis,no,D,conditional
GCA_014490705.1,Rhynchophorus ferrugineus,354439,Curculionidae,Polyphaga,Scaffold,37977,471583,588.8,2020-09-08,King Abdulaziz City for Science and Technology,no,D,conditional
GCA_014462685.1,Rhynchophorus ferrugineus,354439,Curculionidae,Polyphaga,Scaffold,37927,471583,589.4,2020-09-03,King Abdulaziz City for Science and Technology,no,D,conditional
GCA_013372445.1,Hypothenemus hampei,57062,Curculionidae,Polyphaga,Scaffold,36294,340248,162.57,2020-06-24,CENICAFE - Purdue University effort for the genome sequencing of the coffee berry borer,no,D,conditional
GCA_965643775.1,Microrhagus pygmaeus,445480,Eucnemidae,Polyphaga,Scaffold,35244,35265,445.27,2025-07-19,WELLCOME SANGER INSTITUTE,no,D,conditional
GCA_913698435.1,Pseudomimeciton antennatum,1886653,Staphylinidae,Polyphaga,Contig,33840,33840,1.47,2021-09-15,UNIVERSITY OF LIVERPOOL,no,D,conditional
